target,candidate_set,component,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
KRAS,background,raw_logit,3,150,153,0.9244444444444444,0.15367965367965367,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.2873282321757826,1.0
KRAS,background,adjusted_logit,3,150,153,0.9288888888888889,0.1582251082251082,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,3.0,1.0,0.15,7.6499999999999995,0.39416903643757284,1.0
KRAS,background,probability,3,150,153,0.9288888888888889,0.1582251082251082,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,3.0,1.0,0.15,7.6499999999999995,0.39416903643757284,1.0
KRAS,low_plausibility,raw_logit,3,150,153,0.8377777777777777,0.08817340067340067,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.14126697285982898,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.14126697285982898,1.0
KRAS,low_plausibility,adjusted_logit,3,150,153,0.8422222222222222,0.09120370370370369,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.14126697285982898,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.24810777712161922,1.0
KRAS,low_plausibility,probability,3,150,153,0.8422222222222222,0.09120370370370369,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.14126697285982898,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.24810777712161922,1.0
KRAS,context_background,raw_logit,3,300,303,0.9377777777777778,0.09729649435531788,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.1,10.1,0.2393559056278611,1.0
KRAS,context_background,adjusted_logit,3,300,303,0.94,0.09925152856841661,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.1,10.1,0.2393559056278611,1.0
KRAS,context_background,probability,3,300,303,0.94,0.09925152856841661,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.1,10.1,0.2393559056278611,1.0
KRAS,all_U,raw_logit,3,450,453,0.9044444444444445,0.04750519750519751,20,20,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.10684080426179023,1.0
