target,replacement_query,model,candidate_set,actual_query,rank_spearman_to_actual,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
CTNNB1,EGFR,tuna_retrained,all_U,False,-0.056345349870820786,3,450,453,0.4866666666666667,0.014529904557944739,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BCL2,tuna_retrained,all_U,False,-0.45477397702889605,3,450,453,0.43703703703703706,0.008174788937637172,163,163,163.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KEAP1,tuna_retrained,all_U,False,0.6352340032442613,3,450,453,0.562962962962963,0.009939042733825213,103,103,103.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BRCA1,tuna_retrained,all_U,False,0.7846920494947334,3,450,453,0.44074074074074077,0.008842667860480824,84,84,84.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KRAS,tuna_retrained,all_U,False,0.8287351021777033,3,450,453,0.6185185185185185,0.02575348627980207,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.11047239495909743,1.0
CTNNB1,CDK2,tuna_retrained,all_U,False,0.8503808508556397,3,450,453,0.5288888888888889,0.00906537321154105,185,185,185.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,HIF1A,tuna_retrained,all_U,False,0.7455674113630726,3,450,453,0.5511111111111111,0.011183173235886077,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,CTNNB1,tuna_retrained,all_U,True,1.0,3,450,453,0.6859259259259259,0.022058823529411763,24,24,24.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,TNFRSF1A,tuna_retrained,all_U,False,-0.46985917180203657,3,450,453,0.4348148148148148,0.00876163596751832,85,85,85.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BECN1,tuna_retrained,all_U,False,0.8262358128118626,3,450,453,0.4748148148148148,0.04637018243131479,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,15.100000000000001,0.1480409554829326,1.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.1480409554829326,1.0
