target,candidate_set,diagnostic,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
KEAP1,context,partner_positive_degree_fraction,3,150,153,0.7677777777777778,0.05975705329153605,16,16,16.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11480929472601784,1.0
KEAP1,background,partner_training_seen,3,150,153,0.7333333333333333,0.04820261437908496,1,31,11.0,0.19732227067332384,0.3125,0.10416666666666667,0.0625,3.1875,0.08647807118986876,0.2923387096774195,0.625,0.20833333333333334,0.0625,3.1875,0.1332622336116811,0.5342741935483872,1.25,0.4166666666666667,0.0625,3.1875,0.20649051107045993,0.8669354838709677
KEAP1,background,partner_positive_degree,3,150,153,0.7977777777777778,0.5620915032679739,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.7039180890341347,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.7039180890341347,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.7039180890341347,1.0
KEAP1,background,partner_positive_degree_fraction,3,150,153,0.7955555555555556,0.10609534350541544,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,2.032520325203252,0.6775067750677507,0.10162601626016261,5.182926829268293,0.28324657681914955,1.0
KEAP1,low_plausibility,partner_training_seen,3,150,153,0.7466666666666667,0.054154995331465915,1,27,9.666666666666666,0.2168274843678791,0.35714285714285715,0.11904761904761905,0.07142857142857142,3.642857142857143,0.09883208135985001,0.3306878306878307,0.7142857142857143,0.2380952380952381,0.07142857142857142,3.642857142857143,0.15229969555620695,0.5952380952380953,1.4285714285714286,0.4761904761904762,0.07142857142857142,3.642857142857143,0.23598915550909705,0.9259259259259259
KEAP1,low_plausibility,partner_positive_degree,3,150,153,0.8055555555555556,0.6732026143790849,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.7653606369886217,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.7653606369886217,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.7653606369886217,1.0
KEAP1,low_plausibility,partner_positive_degree_fraction,3,150,153,0.7922222222222223,0.09546194546194546,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.14126697285982898,1.0,2.0476190476190474,0.6825396825396824,0.10238095238095238,5.2214285714285715,0.2698447321902438,1.0
KEAP1,context_background,partner_training_seen,3,300,303,0.6766666666666666,0.017189218921892187,1,95,32.333333333333336,0.08730027679064087,0.10416666666666667,0.034722222222222224,0.020833333333333336,2.104166666666667,0.028826023729956254,0.10197368421052633,0.20833333333333334,0.06944444444444445,0.020833333333333336,2.104166666666667,0.044420744537227025,0.19846491228070184,0.4166666666666667,0.1388888888888889,0.020833333333333336,2.104166666666667,0.06883017035681997,0.3750000000000002
KEAP1,context_background,partner_positive_degree,3,300,303,0.7777777777777778,0.3366336633663366,2,2,2.0,0.5,2.0,0.6666666666666666,0.4,40.4,0.49818925746641285,1.0,2.0,0.6666666666666666,0.2,20.2,0.49818925746641285,1.0,2.0,0.6666666666666666,0.1,10.1,0.49818925746641285,1.0
KEAP1,context_background,partner_positive_degree_fraction,3,300,303,0.7816666666666666,0.03932178932178932,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEAP1,all_U,partner_training_seen,3,450,453,0.7,0.013136467267397676,1,121,41.0,0.07248478465247575,0.08196721311475409,0.0273224043715847,0.016393442622950817,2.475409836065573,0.022682772771113118,0.08061238314591523,0.16393442622950818,0.0546448087431694,0.016393442622950817,2.475409836065573,0.0349540284883098,0.15783769136973325,0.32786885245901637,0.1092896174863388,0.016393442622950817,2.475409836065573,0.054161445526678016,0.30212708305107727
KEAP1,all_U,partner_positive_degree,3,450,453,0.7870370370370371,0.3355408388520971,2,2,2.0,0.5,2.0,0.6666666666666666,0.4,60.400000000000006,0.49818925746641285,1.0,2.0,0.6666666666666666,0.2,30.200000000000003,0.49818925746641285,1.0,2.0,0.6666666666666666,0.1,15.100000000000001,0.49818925746641285,1.0
KEAP1,all_U,partner_positive_degree_fraction,3,450,453,0.7851851851851852,0.028833320350029862,30,30,30.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,context,partner_training_seen,3,150,153,0.84,0.058823529411764705,1,49,13.0,0.18482529682449061,0.29411764705882354,0.09803921568627451,0.058823529411764705,3.0,0.08139112582575883,0.2710684273709484,0.5882352941176471,0.19607843137254902,0.058823529411764705,3.0,0.1254232786933469,0.48811524609843937,1.1764705882352942,0.39215686274509803,0.058823529411764705,3.0,0.1943440104192564,0.7841536614645859
BRCA1,context,partner_positive_degree,3,150,153,0.8255555555555556,0.08055555555555555,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.14126697285982898,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.14126697285982898,1.0
BRCA1,context,partner_positive_degree_fraction,3,150,153,0.4066666666666667,0.03372847441183604,16,16,16.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11480929472601784,1.0
BRCA1,background,partner_training_seen,3,150,153,0.8533333333333334,0.06382978723404255,1,45,12.0,0.19586425611538566,0.3191489361702128,0.10638297872340426,0.06382978723404256,3.2553191489361706,0.08831803015135532,0.292013567684243,0.6382978723404256,0.2127659574468085,0.06382978723404256,3.2553191489361706,0.13609760028427004,0.5208140610545791,1.2765957446808511,0.425531914893617,0.06382978723404256,3.2553191489361706,0.21088392619961863,0.8196114708603145
BRCA1,background,partner_positive_degree,3,150,153,0.9088888888888889,0.1845238095238095,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,10.200000000000001,0.23463936301137822,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.23463936301137822,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.23463936301137822,1.0
BRCA1,background,partner_positive_degree_fraction,3,150,153,0.3688888888888889,0.03176323160843285,17,17,17.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.1125388887954676,1.0
BRCA1,low_plausibility,partner_training_seen,3,150,153,0.9533333333333334,0.17647058823529413,1,15,4.5,0.3879105045281516,0.8823529411764706,0.29411764705882354,0.1764705882352941,9.0,0.2441733774772765,0.6764705882352942,1.7647058823529411,0.5882352941176471,0.1764705882352941,9.0,0.3762698360800407,0.9485294117647058,3.0,1.0,0.15,7.6499999999999995,0.5255213126127243,1.0
BRCA1,low_plausibility,partner_positive_degree,3,150,153,0.9944444444444445,0.7555555555555555,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.8957426585530848,1.0,3.0,1.0,0.3,15.299999999999999,0.8957426585530848,1.0,3.0,1.0,0.15,7.6499999999999995,0.8957426585530848,1.0
BRCA1,low_plausibility,partner_positive_degree_fraction,3,150,153,0.3688888888888889,0.07835450934042483,5,5,5.0,0.2,1.0,0.3333333333333333,0.2,10.200000000000001,0.18154179253735267,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.18154179253735267,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.18154179253735267,1.0
