target,model,candidate_set,actual_P_vs_U,actual_AP,mean_replacement_P_vs_U,mean_replacement_AP,mean_replacement_rank_spearman,query_specific_P_vs_U_lift,query_specific_AP_lift,replacement_consensus_P_vs_U,replacement_consensus_AP,replacement_consensus_recovered_P_at_10
KEAP1,tuna_retrained,low_plausibility,0.48,0.024608309655038626,0.6258585858585858,0.17325840581391186,0.2984454329796294,-0.1458585858585858,-0.14865009615887323,0.74,0.04697061191626409,0.0
KEAP1,tuna_retrained,context_background,0.45111111111111113,0.011660990281719113,0.5381818181818182,0.01671437201714276,0.3179701684005974,-0.08707070707070708,-0.005053381735423648,0.6177777777777778,0.016393004115226338,0.0
KEAP1,tuna_retrained,all_U,0.46074074074074073,0.007972029391466733,0.5674074074074075,0.014202398284439345,0.2960923441600002,-0.10666666666666674,-0.0062303688929726125,0.6659259259259259,0.012524393283780248,0.0
BRCA1,tuna_retrained,context,0.9422222222222222,0.43977591036414565,0.509090909090909,0.043186288597503786,0.40082736008714054,0.43313131313131314,0.39658962176664186,0.5466666666666666,0.02758352758352758,0.0
BRCA1,tuna_retrained,background,0.9333333333333333,0.21136173767752714,0.49797979797979797,0.04611156549364586,0.36632935035693265,0.4353535353535354,0.16525017218388127,0.5466666666666666,0.02798502046622347,0.0
BRCA1,tuna_retrained,low_plausibility,0.9911111111111112,0.5888888888888888,0.5327272727272727,0.10483898068632995,0.5672351150116417,0.45838383838383845,0.48404990820255883,0.6066666666666667,0.03141568946166647,0.0
BRCA1,tuna_retrained,context_background,0.9377777777777778,0.16705516705516704,0.5035353535353535,0.024573443766685285,0.3717442326316981,0.4342424242424243,0.14248172328848174,0.5455555555555556,0.014091608949419625,0.0
BRCA1,tuna_retrained,all_U,0.9555555555555556,0.13659611992945325,0.5132659932659932,0.018921262678300656,0.38222831589432854,0.4422895622895624,0.11767485725115259,0.5740740740740741,0.010071191390632634,0.0
KRAS,tuna_retrained,context,0.8577777777777778,0.08309806135893091,0.4543434343434343,0.02486046256574891,0.32507374415620965,0.4034343434343434,0.05823759879318201,0.44333333333333336,0.022609427609427607,0.0
KRAS,tuna_retrained,background,0.9288888888888889,0.15277777777777776,0.47010101010101013,0.026918249397650064,0.3406724151165468,0.45878787878787874,0.1258595283801277,0.5111111111111111,0.025657920713890864,0.0
KRAS,tuna_retrained,low_plausibility,0.9977777777777778,0.9166666666666666,0.5404040404040404,0.05776106451558653,0.471796287022856,0.4573737373737373,0.8589056021510801,0.6333333333333333,0.034009713725307054,0.0
KRAS,tuna_retrained,context_background,0.8933333333333333,0.05690836940836941,0.4622222222222223,0.012975353015312878,0.33123488804091283,0.431111111111111,0.04393301639305653,0.47555555555555556,0.012157148938758133,0.0
KRAS,tuna_retrained,all_U,0.9281481481481482,0.0564831993403422,0.4882828282828282,0.009967027033802749,0.3613756070080792,0.43986531986531996,0.04651617230653945,0.5318518518518518,0.009121694817989912,0.0
