target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
KEAP1,background,ipin_optimized,average_precision,0.36043956043956044,0.13824083893012842,0.222198721509432,0.018516560125786
BRCA1,background,ipin_optimized,average_precision,0.3547008547008547,0.1226190476190476,0.23208180708180712,0.019340150590150592
KRAS,background,ipin_optimized,average_precision,0.1582251082251082,0.1550925925925926,0.0031325156325156256,0.0002610429693763021
CDK2,background,ipin_optimized,average_precision,0.03647869827305311,0.4410569105691057,-0.40457821229605256,-0.03371485102467105
HIF1A,background,ipin_optimized,average_precision,0.37170645446507516,0.09820218096080165,0.27350427350427353,0.022792022792022793
CTNNB1,background,ipin_optimized,average_precision,0.04890147115756871,0.034278928962889504,0.014622542194679206,0.0012185451828899338
TNFRSF1A,background,ipin_optimized,average_precision,0.0341687552213868,0.21157059314954052,-0.17740183792815373,-0.01478348649401281
BECN1,background,ipin_optimized,average_precision,0.30970873786407765,0.28841607565011823,0.021292662213959423,0.0017743885178299519
ERN1,background,tuna_retrained,P_vs_U_concordance,0.845,0.74125,0.10375000000000001,0.008645833333333333
TP53,background,tuna_retrained,P_vs_U_concordance,0.8933333333333333,0.8933333333333333,0.0,0.0
EGFR,background,tuna_retrained,P_vs_U_concordance,0.9977777777777778,0.68,0.3177777777777777,0.026481481481481477
BCL2,background,tuna_retrained,P_vs_U_concordance,0.7311111111111112,0.8333333333333334,-0.10222222222222221,-0.008518518518518517
KEAP1,background,tuna_retrained,P_vs_U_concordance,0.74,0.5355555555555556,0.20444444444444443,0.017037037037037035
BRCA1,background,tuna_retrained,P_vs_U_concordance,0.9688888888888889,0.9333333333333333,0.03555555555555556,0.0029629629629629637
KRAS,background,tuna_retrained,P_vs_U_concordance,0.9288888888888889,0.9288888888888889,0.0,0.0
CDK2,background,tuna_retrained,P_vs_U_concordance,0.66,0.9311111111111111,-0.2711111111111111,-0.02259259259259259
HIF1A,background,tuna_retrained,P_vs_U_concordance,0.8022222222222222,0.7577777777777778,0.0444444444444444,0.0037037037037037
CTNNB1,background,tuna_retrained,P_vs_U_concordance,0.7022222222222222,0.6311111111111111,0.07111111111111112,0.005925925925925927
TNFRSF1A,background,tuna_retrained,P_vs_U_concordance,0.64,0.5622222222222222,0.07777777777777783,0.0064814814814814865
BECN1,background,tuna_retrained,P_vs_U_concordance,0.7688888888888888,0.8244444444444444,-0.05555555555555558,-0.004629629629629632
ERN1,background,tuna_retrained,average_precision,0.30049130763416476,0.2909296585767174,0.009561649057447386,0.0007968040881206154
TP53,background,tuna_retrained,average_precision,0.12831286360698124,0.1259259259259259,0.002386937681055329,0.0001989114734212774
EGFR,background,tuna_retrained,average_precision,0.9166666666666666,0.05434721872991925,0.8623194479367474,0.07185995399472896
BCL2,background,tuna_retrained,average_precision,0.05818872485539152,0.08508403361344537,-0.02689530875805385,-0.002241275729837821
KEAP1,background,tuna_retrained,average_precision,0.36043956043956044,0.027298098726670154,0.3331414617128903,0.02776178847607419
BRCA1,background,tuna_retrained,average_precision,0.3547008547008547,0.21136173767752714,0.14333911702332758,0.011944926418610632
KRAS,background,tuna_retrained,average_precision,0.1582251082251082,0.15277777777777776,0.005447330447330451,0.0004539442039442042
CDK2,background,tuna_retrained,average_precision,0.03647869827305311,0.16249999999999998,-0.12602130172694687,-0.01050177514391224
HIF1A,background,tuna_retrained,average_precision,0.37170645446507516,0.11321070234113711,0.25849575212393805,0.02154131267699484
CTNNB1,background,tuna_retrained,average_precision,0.04890147115756871,0.06782106782106781,-0.0189195966634991,-0.0015766330552915916
TNFRSF1A,background,tuna_retrained,average_precision,0.0341687552213868,0.1291101760947483,-0.09494142087336152,-0.007911785072780127
BECN1,background,tuna_retrained,average_precision,0.30970873786407765,0.6788617886178862,-0.3691530507538085,-0.030762754229484043
ERN1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.985,0.47625,0.50875,0.042395833333333334
TP53,low_plausibility,ipin_baseline,P_vs_U_concordance,0.9866666666666667,0.7733333333333333,0.21333333333333337,0.01777777777777778
EGFR,low_plausibility,ipin_baseline,P_vs_U_concordance,1.0,0.5933333333333334,0.4066666666666666,0.033888888888888885
BCL2,low_plausibility,ipin_baseline,P_vs_U_concordance,0.5644444444444444,0.9466666666666667,-0.38222222222222224,-0.03185185185185185
KEAP1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8133333333333334,0.7355555555555555,0.07777777777777783,0.0064814814814814865
BRCA1,low_plausibility,ipin_baseline,P_vs_U_concordance,1.0,0.9111111111111111,0.0888888888888889,0.0074074074074074086
KRAS,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8422222222222222,0.9422222222222222,-0.09999999999999998,-0.008333333333333331
CDK2,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8844444444444445,0.8866666666666667,-0.0022222222222222365,-0.00018518518518518637
HIF1A,low_plausibility,ipin_baseline,P_vs_U_concordance,0.9533333333333334,0.96,-0.006666666666666599,-0.0005555555555555499
CTNNB1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.7088888888888889,0.9444444444444444,-0.23555555555555552,-0.019629629629629625
TNFRSF1A,low_plausibility,ipin_baseline,P_vs_U_concordance,0.98,0.7,0.28,0.023333333333333334
BECN1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8111111111111111,0.8444444444444444,-0.033333333333333326,-0.002777777777777777
ERN1,low_plausibility,ipin_baseline,average_precision,0.5798611111111112,0.06643012402506074,0.5134309870860504,0.0427859155905042
