omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
BECN1,background,tuna_retrained,P_vs_U_concordance,0.8099494949494951,0.7661742424242426,0.04377525252525252,11
ERN1,background,tuna_retrained,average_precision,0.2524998086796113,0.1643907752114641,0.08810903346814719,11
TP53,background,tuna_retrained,average_precision,0.26815239450026435,0.1793911145433542,0.0887612799569101,11
EGFR,background,tuna_retrained,average_precision,0.19648386694938386,0.1858982697429912,0.010585597206392653,11
BCL2,background,tuna_retrained,average_precision,0.27452731620495435,0.18310401384448882,0.09142330236046549,11
KEAP1,background,tuna_retrained,average_precision,0.24704996751548444,0.18835728065237747,0.05869268686310694,11
BRCA1,background,tuna_retrained,average_precision,0.24757166803718497,0.17162422256593593,0.075947445471249,11
KRAS,background,tuna_retrained,average_precision,0.2654330995349801,0.17695003710227677,0.0884830624327033,11
CDK2,background,tuna_retrained,average_precision,0.2765009549851669,0.1760661987184384,0.1004347562667285,11
HIF1A,background,tuna_retrained,average_precision,0.24602570442225583,0.1805470439601532,0.06547866046210259,11
CTNNB1,background,tuna_retrained,average_precision,0.27537161199566546,0.18467337437106862,0.09069823762459689,11
TNFRSF1A,background,tuna_retrained,average_precision,0.2767109498080456,0.17910163725527947,0.09760931255276618,11
BECN1,background,tuna_retrained,average_precision,0.25166186047689193,0.1291242179349942,0.12253764254189775,11
ERN1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8676767676767677,0.8397979797979798,0.027878787878787895,11
TP53,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8675252525252525,0.812790404040404,0.054734848484848504,11
EGFR,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8663131313131313,0.8291540404040404,0.03715909090909093,11
BCL2,low_plausibility,ipin_baseline,P_vs_U_concordance,0.9059090909090911,0.7970328282828283,0.10887626262626265,11
KEAP1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8832828282828283,0.8162247474747475,0.06705808080808083,11
BRCA1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8663131313131313,0.8002651515151515,0.06604797979797981,11
KRAS,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8806565656565657,0.7974368686868687,0.08321969696969699,11
