snapshot,source_key,value
split.json,aggregate_metrics/partition_summaries/2/absolute_target_fraction_deviation,0.0
split.json,aggregate_metrics/partition_summaries/2/component_count,1284.0
split.json,aggregate_metrics/partition_summaries/2/endpoint_count,2550.0
split.json,aggregate_metrics/partition_summaries/2/endpoint_fraction,0.15
split.json,aggregate_metrics/partition_summaries/2/internal_positive_pairs_all,2379.0
split.json,aggregate_metrics/partition_summaries/2/internal_positive_pairs_hi_ii_14,510.0
split.json,aggregate_metrics/partition_summaries/2/internal_positive_pairs_huri,2110.0
split.json,aggregate_metrics/partition_summaries/2/largest_component_size,111.0
split.json,aggregate_metrics/partition_summaries/2/positive_degree_mass_fraction_all,0.1941549380695619
split.json,aggregate_metrics/partition_summaries/2/positive_degree_sum_all,22541.0
split.json,aggregate_metrics/partition_summaries/2/positive_exposed_endpoint_count,1358.0
split.json,aggregate_metrics/partition_summaries/2/singleton_component_count,931.0
split.json,aggregate_metrics/partition_summaries/2/target_endpoint_fraction,0.15
split.json,aggregate_metrics/selection_summaries/0/candidate_count_per_definition,4096.0
split.json,aggregate_metrics/selection_summaries/0/fallback_candidates_evaluated,0.0
split.json,aggregate_metrics/selection_summaries/0/fallback_valid_candidate_count,0.0
split.json,aggregate_metrics/selection_summaries/0/maximum_absolute_endpoint_fraction_deviation,0.03
split.json,aggregate_metrics/selection_summaries/0/primary_candidates_evaluated,4096.0
split.json,aggregate_metrics/selection_summaries/0/primary_valid_candidate_count,2653.0
split.json,aggregate_metrics/selection_summaries/0/selected_candidate_index,1064.0
split.json,aggregate_metrics/selection_summaries/0/selected_maximum_degree_mass_fraction_deviation,0.066233699
split.json,aggregate_metrics/selection_summaries/0/selected_maximum_endpoint_fraction_deviation,0.0
split.json,aggregate_metrics/selection_summaries/0/selected_maximum_heldout_axis_relative_imbalance,0.105980143
split.json,aggregate_metrics/selection_summaries/0/selected_maximum_hub_endpoint_fraction_deviation,0.091176471
split.json,aggregate_metrics/selection_summaries/0/selected_maximum_source_presence_fraction_deviation,0.046799672
split.json,aggregate_metrics/selection_summaries/0/selected_minimum_normalized_evidence_ratio,4.53
partner_support.json,folds/0/anchor_components,598.0
partner_support.json,folds/0/candidate_panel_size_quantiles/0,246.0
partner_support.json,folds/0/candidate_panel_size_quantiles/1,281.0
partner_support.json,folds/0/candidate_panel_size_quantiles/2,291.0
partner_support.json,folds/0/candidate_panel_size_quantiles/3,300.0
partner_support.json,folds/0/candidate_panel_size_quantiles/4,351.0
partner_support.json,folds/0/cells/p/C1,7367.0
partner_support.json,folds/0/cells/p/C2,7420.0
partner_support.json,folds/0/cells/p/C3,2012.0
partner_support.json,folds/0/cells/u/C1,882510.0
partner_support.json,folds/0/cells/u/C2,891839.0
partner_support.json,folds/0/cells/u/C3,225651.0
partner_support.json,folds/0/effective_anchor_components,7.6311618846369695
partner_support.json,folds/0/eligible_anchors,1075.0
partner_support.json,folds/0/eligible_quartets_before_caps,123955.0
partner_support.json,folds/0/fold,0.0
partner_support.json,folds/0/heldout_endpoints,3967.0
partner_support.json,folds/0/illustrative_80pct_power_MDE/0.05,0.050708504183041715
partner_support.json,folds/0/illustrative_80pct_power_MDE/0.1,0.10141700836608343
partner_support.json,folds/0/illustrative_80pct_power_MDE/0.2,0.20283401673216686
partner_support.json,folds/0/largest_anchor_component_fraction,0.36093023255813955
partner_support.json,folds/0/positive_but_zero_unlabeled_anchors,0.0
partner_support.json,folds/0/quartet_components,552.0
partner_support.json,folds/0/quartet_endpoints,990.0
