row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
95,0.2643069624900818,-10.48416805267334,-10.613693237304688,-10.215317726135254,-10.437726338704428
96,0.6572734713554382,-6.966966152191162,-6.6746978759765625,-7.988135814666748,-7.209933280944824
97,0.7748181223869324,-9.713988304138184,-8.579610824584961,-6.561549186706543,-8.285049438476562
98,0.38739609718322754,-14.182397842407227,-12.630967140197754,-13.548471450805664,-13.453945477803549
99,0.6096742749214172,-6.252982139587402,-6.350285530090332,-9.47378921508789,-7.359018961588542
100,0.699522852897644,-10.61892032623291,-9.420516014099121,-12.662168502807617,-10.900534947713217
101,0.4323762059211731,-8.885279655456543,-10.604636192321777,-9.526698112487793,-9.672204653422037
102,0.387799471616745,-12.649007797241211,-10.837127685546875,-11.230899810791016,-11.572345097859701
103,0.5449740290641785,-13.860915184020996,-9.273677825927734,-15.078441619873047,-12.737678209940592
104,0.5921058058738708,-8.094385147094727,-6.9497504234313965,-10.3971586227417,-8.480431397755941
105,0.28459393978118896,-9.791659355163574,-11.96900749206543,-10.134757995605469,-10.631808280944824
106,0.33939751982688904,-11.45602798461914,-10.75322151184082,-11.438673973083496,-11.215974489847818
107,0.5932796597480774,-12.591675758361816,-10.719744682312012,-10.596206665039062,-11.302542368570963
108,0.6646619439125061,-6.1975507736206055,-5.759629726409912,-11.105500221252441,-7.687560240427653
109,0.7501876354217529,-6.513427734375,-6.663652420043945,-9.170397758483887,-7.449159304300944
110,0.5769010782241821,-6.058027267456055,-8.363466262817383,-8.421133041381836,-7.614208857218425
111,0.4677874743938446,-11.689986228942871,-7.570494651794434,-9.457554817199707,-9.572678565979004
112,0.6519935727119446,-11.598282814025879,-8.658864974975586,-9.252141952514648,-9.836429913838705
113,0.6764015555381775,-12.603837013244629,-8.375432968139648,-10.160637855529785,-10.379969278971354
114,0.5538363456726074,-11.688931465148926,-11.813015937805176,-10.716827392578125,-11.406258265177408
115,0.7234670519828796,-10.175753593444824,-9.913236618041992,-10.717000007629395,-10.26866340637207
116,0.6425159573554993,-9.947720527648926,-8.324482917785645,-10.968582153320312,-9.746928532918295
117,0.8258811831474304,-8.05406379699707,-6.233054161071777,-11.589734077453613,-8.625617345174154
118,0.7058250308036804,-10.703207015991211,-9.368914604187012,-10.56466007232666,-10.212260564168295
119,0.5973339080810547,-12.565993309020996,-10.407135009765625,-10.887114524841309,-11.286747614542643
120,0.6232499480247498,-7.713248252868652,-6.358700752258301,-9.217803001403809,-7.763250668843587
121,0.7784015536308289,-9.995620727539062,-10.375801086425781,-9.773955345153809,-10.04845905303955
122,0.8073483109474182,-8.492364883422852,-10.289185523986816,-10.049038887023926,-9.610196431477865
123,0.5131540298461914,-9.208459854125977,-9.586477279663086,-9.402377128601074,-9.399104754130045
124,0.5199359655380249,-8.843557357788086,-6.655055046081543,-8.189051628112793,-7.895888010660808
