row_index,ipin_baseline_score,ipin_optimized_score
197,-2.6722853978474936,-3.1231571038564048
198,-3.531005064646403,-4.38267199198405
199,-2.196345647176107,-2.149545749028524
200,-3.0916550954182944,-2.5291559298833213
201,-2.279339869817098,-1.4226618607838948
202,-2.5702317555745444,-2.974937121073405
203,-1.8265531460444133,-3.1909337838490806
204,-3.4801263014475503,-3.7294223308563232
205,-0.9482898513476054,-1.7750810782114665
206,-2.4269838333129883,-2.082753578821818
207,-1.4326917330423992,-3.332662264506022
208,-1.9595603545506795,-2.7997188568115234
209,-2.2331629196802774,-3.4620652993520102
210,-2.293264150619507,-3.2004928588867188
211,-2.6653853257497153,-3.167588392893473
212,-3.75797438621521,-3.612467130025228
213,-2.3937572638193765,-2.6733476320902505
214,-2.396223306655884,-2.1252771615982056
215,-1.8978852033615112,-2.32059653600057
216,-1.0651185909907024,-1.2083208163579304
217,-1.381126880645752,-1.0697498718897502
218,-2.4993772506713867,-3.2484261989593506
219,-1.9093997081120808,-1.920278549194336
220,-2.6781811714172363,-2.282012859980265
221,-3.4124151865641275,-5.089956601460774
222,-2.6918729146321616,-2.167738676071167
223,-1.7461014588673909,-2.0800041357676187
224,-2.8036094506581626,-3.2395147482554116
225,-1.7942252556482952,-1.9947919249534607
226,-1.3882828156153362,-2.101855675379435
227,-3.077016989390055,-4.758870283762614
228,-2.3366984526316323,-2.784647226333618
229,-1.0379342436790466,-1.034112274646759
230,-3.2646031379699707,-3.9236272970835366
231,-2.6395339171091714,-3.3666933377583823
232,-1.4353737433751423,-2.6118199030558267
233,-2.5802761713663735,-2.798421541849772
234,-1.18917183081309,-0.8353497684001923
235,-3.252946217854818,-4.038668870925903
236,-2.2477287451426187,-4.168943564097087
237,-1.6358257134755452,-2.9945255120595298
238,-2.918664296468099,-2.940357526143392
239,-3.334718386332194,-4.52996039390564
240,-0.9347497820854187,-1.6225127776463826
241,-2.5159730911254883,-2.8039042949676514
242,-3.101168235143026,-3.0602999528249106
243,-2.7162744204203286,-4.931657473246257
244,-1.615551233291626,-1.6553808053334553
245,-1.9444514513015747,-2.3701561292012534
246,-2.5775551001230874,-3.53178079922994
247,-0.9078274369239807,-1.5142046610514324
248,-1.1722625096638997,-2.19231108824412
249,-3.4854767322540283,-4.426199913024902
250,-2.4999849796295166,-3.5613228480021157
251,-2.111851533253988,-2.846679369608561
252,-1.7106207211812336,-2.150858481725057
253,-2.5251185099283853,-3.120112101236979
254,-2.464367707570394,-3.383691390355428
255,-2.873075803120931,-3.709644873936971
256,-3.202068249384562,-2.5661547978719077
257,-3.775773366292318,-3.0119004249572754
258,-1.3329357306162517,-2.201612869898478
259,-1.8296058177947998,-1.8409159580866497
260,-2.345290501912435,-2.4218740463256836
261,-1.7417223850886028,-1.8798619111378987
262,-1.8581113815307617,-2.3728190263112388
263,-2.109694480895996,-1.0475900371869404
264,-3.268799384435018,-4.402164618174235
265,-2.825110753377279,-4.5207295417785645
266,-1.584584395090739,-2.059808373451233
267,-1.8397990465164185,-1.217793881893158
268,-2.672529617945353,-2.788317600886027
269,-2.3458924293518066,-3.3173083464304605
270,-2.9572900931040444,-2.8970813751220703
271,-2.8012373447418213,-4.302061875661214
272,-3.197468121846517,-4.025659402211507
273,-3.7003706296284995,-3.3091915448506675
274,-1.9923652807871501,-2.291593631108602
275,-3.6044456164042153,-3.0459495385487876
276,-2.8443121115366616,-3.048410495122274
277,-2.8083571592966714,-3.313736359278361
278,-2.3486828804016113,-4.467177549997966
279,-3.022397041320801,-2.8140153090159097
280,-2.573888063430786,-3.27137025197347
281,-1.3835548162460327,-1.7148281733194988
282,-2.3532212575276694,-3.6859846115112305
283,-1.9598047733306885,-2.851831038792928
284,-2.4772063891092935,-3.616995175679525
285,-2.6763619581858316,-2.480123281478882
286,-3.0980540911356607,-3.9850448767344155
287,-1.5950022141138713,-1.9737562735875447
288,-3.3399445215861,-2.704575538635254
289,-3.019294341405233,-3.233565012613932
290,-3.158677101135254,-2.3628432750701904
291,-1.2005650599797566,-1.393090009689331
292,-2.5727404753367105,-3.3059146404266357
293,-2.001280903816223,-2.28825044631958
294,-0.7169521450996399,0.5812763969103495
295,-3.1983527342478433,-3.196850379308065
296,-3.2941160996754966,-2.0841297705968223
297,-3.0572591622670493,-2.1360015869140625
298,-1.9112409353256226,-3.7044310569763184
299,-3.050538698832194,-3.447518507639567
300,-2.0180724064509072,-2.7518546978632608
301,-2.4582701524098716,-2.8428715070088706
302,-2.455167770385742,-1.9566305875778198
303,-2.7448517481486,-4.341431697209676
304,-2.2780962785085044,-4.130108038584392
305,-2.8702926635742188,-3.5605735778808594
306,-2.333824872970581,-3.2462661266326904
307,-2.631367047627767,-2.916785796483358
308,-2.875406185785929,-4.288673798243205
309,-2.683722813924154,-2.23839795589447
310,-3.0843332608540854,-4.823638757069905
311,-1.9757946332295735,-1.745417594909668
312,-3.543525139490763,-4.843671957651774
313,-2.0447709957758584,-3.006388465563456
314,-2.11896546681722,-3.1152446269989014
315,-3.364130973815918,-3.215811570485433
316,-1.7259596983591716,-2.6748361587524414
317,-2.3106656074523926,-2.5699286460876465
318,-3.1968937714894614,-4.164949099222819
319,-2.728776137034098,-3.2929564317067466
320,-2.702321767807007,-3.0535926818847656
321,-1.467045823733012,-2.422014315923055
322,-2.3163638909657798,-3.028898239135742
323,-4.345294157663981,-4.787454605102539
324,-3.199570417404175,-4.374411980311076
325,-2.2778472105662027,-3.426153818766276
326,-2.8344608147939048,-2.095160881678263
327,-2.1443187395731607,-2.0778733491897583
328,-1.9652587175369263,-1.811055302619934
329,-3.020375887552897,-2.9967227776845298
330,-2.616344372431437,-2.370423158009847
331,-1.9241496324539185,-2.223668893178304
332,-2.610276222229004,-2.548740784327189
333,-1.5616277853647869,-1.7664635976155598
334,-1.752678910891215,-2.53138001759847
335,-3.439457337061564,-4.393212636311849
336,-1.2447621027628581,-2.2103856007258096
337,-2.778299887975057,-4.536650816599528
338,-1.658984859784444,-2.542727788289388
339,-3.0482805569966636,-4.539079984029134
340,-2.341199000676473,-1.899259090423584
341,-3.203786849975586,-2.6748886903127036
342,-2.5436607201894126,-2.446221431096395
343,-1.92759903271993,-2.2352774143218994
344,-2.1939826011657715,-2.2041160265604653
345,-2.6007018089294434,-1.518649657567342
346,-0.9200932582219442,-1.4637503623962402
347,-1.8173516591389973,-0.17013657093048096
348,-1.1279580195744832,-0.964791735013326
349,-3.6919942696889243,-3.1115705966949463
350,-3.19621475537618,-4.516429265340169
351,-0.6084704001744589,-1.8866397937138875
352,-1.8725201686223347,-2.12935733795166
353,-2.139894723892212,-2.0121634801228843
354,-1.830944816271464,-3.0948424339294434
355,-2.9778329531351724,-3.597851117451986
356,-1.4391732613245647,-1.3829435507456462
357,-1.828081488609314,-1.8535548448562622
358,-1.4226285616556804,-1.743624170621236
359,-2.566880544026693,-3.8378512064615884
360,-1.2101612091064453,-1.1376384099324544
361,-2.726994593938192,-3.818230152130127
362,-2.1614830493927,-3.5150116284688315
363,-1.9696412483851116,-2.168355186780294
364,-1.4975814024607341,-0.8443436821301779
365,-2.382542530695597,-2.784623861312866
366,-3.055050849914551,-3.7034749190012612
367,-3.6268781820933023,-3.644218921661377
368,-0.8277750809987386,0.8991517225901285
369,-2.486075480779012,-1.9594220320383708
370,-2.9155944188435874,-2.5095502535502114
371,-3.7169838746388755,-3.8004822731018066
