target,model,positive_subset,U_stratum,P,U,P_vs_U_concordance
BRCA1,tuna_original,all_P,context,3,150,0.9333333333333333
BRCA1,tuna_original,all_P,background,3,150,0.9688888888888889
BRCA1,tuna_original,exclude_development_P,all_U,3,300,0.9511111111111111
BRCA1,tuna_original,exclude_development_P,context,3,150,0.9333333333333333
BRCA1,tuna_original,exclude_development_P,background,3,150,0.9688888888888889
BRCA1,tuna_original,exclude_development_P_and_homomers,all_U,3,300,0.9511111111111111
BRCA1,tuna_original,exclude_development_P_and_homomers,context,3,150,0.9333333333333333
BRCA1,tuna_original,exclude_development_P_and_homomers,background,3,150,0.9688888888888889
BRCA1,tuna_retrained,all_P,all_U,3,300,0.9377777777777778
BRCA1,tuna_retrained,all_P,context,3,150,0.9422222222222222
BRCA1,tuna_retrained,all_P,background,3,150,0.9333333333333333
BRCA1,tuna_retrained,exclude_development_P,all_U,3,300,0.9377777777777778
BRCA1,tuna_retrained,exclude_development_P,context,3,150,0.9422222222222222
BRCA1,tuna_retrained,exclude_development_P,background,3,150,0.9333333333333333
BRCA1,tuna_retrained,exclude_development_P_and_homomers,all_U,3,300,0.9377777777777778
BRCA1,tuna_retrained,exclude_development_P_and_homomers,context,3,150,0.9422222222222222
BRCA1,tuna_retrained,exclude_development_P_and_homomers,background,3,150,0.9333333333333333
