target,cohort,model,anchors,context_n,background_n,context_mean,context_median,context_q25,context_q75,context_sd,background_mean,background_median,background_q25,background_q75,background_sd,mean_difference,median_difference,unstratified_A,unstratified_rank_biserial,KS_distance,anchor_matched_A,anchor_matched_rank_biserial,A_context_vs_nonmatching_background,top20_U_context_fraction,P_vs_context_concordance,P_vs_background_concordance
KRAS,additional_six,tuna_retrained,3,150,150,-7.6047227896584415,-7.663127501805624,-8.685417254765829,-6.444937666257223,1.5009149500664531,-8.500002296765645,-8.203610181808472,-9.748982826868694,-7.047021110852559,1.915726723723393,0.8952795071072037,0.5404826800028477,0.6305333333333333,0.26106666666666656,0.22,0.6302666666666666,0.2605333333333333,0.7078472222222222,0.65,0.8577777777777778,0.9288888888888889
CDK2,additional_six,ipin_baseline,3,150,150,-1.3865992724403944,-1.4421288768450418,-2.0507078866163893,-0.6891944706439972,0.9008189410965728,-1.950387227531109,-1.8854568799336753,-2.5992281635602312,-1.2652275363604228,1.1401216999462565,0.5637879550907146,0.4433280030886335,0.6484,0.29679999999999995,0.22666666666666666,0.6461333333333333,0.2922666666666667,0.712134009009009,0.5,0.6155555555555555,0.7422222222222222
CDK2,additional_six,ipin_optimized,3,150,150,-0.9246648285786311,-0.8454424639542897,-1.7086893220742545,-0.25853578249613446,1.130963948240526,-1.7730022296475036,-1.5461891492207847,-2.800354480743408,-0.6232798000176747,1.6817249087849888,0.8483374010688726,0.700746685266495,0.6557333333333333,0.31146666666666656,0.2733333333333333,0.6557333333333334,0.3114666666666668,0.7521396396396396,0.65,0.8466666666666667,0.9022222222222223
CDK2,additional_six,tuna_retrained,3,150,150,-6.25356788025962,-6.207783381144205,-6.934008081754048,-5.560421864191691,1.2678287165754694,-7.467336562739477,-7.35003916422526,-8.698819518089294,-5.971051454544067,2.0979987642172513,1.2137686824798566,1.1422557830810547,0.6885777777777777,0.37715555555555547,0.36,0.6902666666666666,0.38053333333333317,0.782820945945946,0.65,0.9044444444444445,0.9311111111111111
HIF1A,additional_six,ipin_baseline,3,150,150,-1.7158251062780618,-1.6814549763997397,-2.1959061225255327,-1.114293525616328,0.7966786158900433,-2.0791605026740583,-1.9203818639119468,-2.6162445346514382,-1.4203247129917145,0.9822213062644621,0.36333539639599644,0.23892688751220703,0.6045333333333334,0.20906666666666673,0.16666666666666666,0.6141333333333333,0.22826666666666662,0.6771604350242121,0.65,0.6733333333333333,0.7866666666666666
HIF1A,additional_six,ipin_optimized,3,150,150,-1.6617300196157563,-1.5619238217671714,-2.1629057824611664,-1.0660923520723977,0.8487622030274143,-1.9185858600835006,-1.8608259359995523,-2.3591069281101227,-1.4298448065916696,0.8839383683036546,0.25685584046774435,0.2989021142323809,0.5905777777777778,0.18115555555555551,0.2,0.594,0.18799999999999994,0.6230824799555449,0.65,0.6266666666666667,0.6777777777777778
HIF1A,additional_six,tuna_retrained,3,150,150,-8.421629523701137,-8.435453176498413,-9.176152149836222,-7.616549372673035,1.1618767318469416,-9.273958525127833,-9.035181363423664,-10.465418656667072,-8.191907087961834,1.6424340320832749,0.8523290014266962,0.5997281869252511,0.6556888888888889,0.31137777777777775,0.29333333333333333,0.6549333333333333,0.3098666666666665,0.6980214865973379,0.65,0.6377777777777778,0.7577777777777778
CTNNB1,additional_six,ipin_baseline,3,150,150,-1.373332889491899,-1.3074584007263184,-2.0005936920642853,-0.747736359635989,0.9997312494064792,-1.470082785308154,-1.4128129879633584,-1.9838445683320363,-0.9412673314412434,0.8636901917208708,0.09674989581625493,0.10535458723704005,0.5309777777777778,0.06195555555555554,0.1,0.5328,0.0656000000000001,0.5436376467931346,0.65,0.8666666666666667,0.9044444444444445
CTNNB1,additional_six,ipin_optimized,3,150,150,-0.5460438808343477,-0.46231335401535034,-1.4329164028167725,0.40587102870146435,1.1974114719390043,-0.5860176054636638,-0.6513729989528656,-1.1465562283992767,0.13175455729166666,1.0720008088278667,0.03997372462931603,0.18905964493751526,0.5157333333333334,0.031466666666666754,0.09333333333333334,0.4944,-0.011199999999999988,0.5157226738934056,0.5,0.5755555555555556,0.6244444444444445
CTNNB1,additional_six,tuna_retrained,3,150,150,-7.369210019111633,-7.039702494939169,-8.858327587445576,-5.611873467763265,2.470925995818555,-7.4636825966835,-7.060350020726522,-8.56355905532837,-5.903649171193441,2.210263669192087,0.09447257757186733,0.020647525787353516,0.5157777777777778,0.03155555555555556,0.10666666666666667,0.5064000000000001,0.012800000000000145,0.5159366531165311,0.7,0.6022222222222222,0.6311111111111111
TNFRSF1A,additional_six,ipin_baseline,3,150,150,-1.8914776198628047,-1.838913897673289,-2.6570589145024615,-1.207455813884735,1.0095958050835996,-2.1349058904250464,-2.1374275485674543,-2.8011807203292847,-1.4996808966000876,1.0391086235398777,0.2434282705622417,0.29851365089416526,0.5706222222222223,0.1412444444444445,0.16666666666666666,0.5693333333333334,0.13866666666666672,0.5614063755262059,0.6,0.5755555555555556,0.6444444444444445
TNFRSF1A,additional_six,ipin_optimized,3,150,150,-1.8218468274838393,-1.908499558766683,-2.6658176084359484,-0.7444275865952173,1.3058307376602445,-2.1132421236899166,-2.1709833343823752,-2.8783538937568665,-1.3924116839965186,1.2447694750289906,0.2913952962060773,0.26248377561569214,0.5722666666666667,0.1445333333333334,0.14666666666666667,0.5706666666666667,0.1413333333333333,0.5729380764163373,0.6,0.7266666666666667,0.7933333333333333
TNFRSF1A,additional_six,tuna_retrained,3,150,150,-9.781239749060736,-9.855374018351236,-12.172743916511536,-7.504335880279541,2.6565898892186937,-10.648839216497208,-11.30760113398234,-12.983478864034018,-8.289148052533468,2.8435345872208275,0.867599467436472,1.4522271156311035,0.5951111111111111,0.1902222222222223,0.17333333333333334,0.5973333333333334,0.19466666666666677,0.5940520260933835,0.55,0.5,0.5622222222222222
BECN1,additional_six,ipin_baseline,3,150,150,-1.6872729999663878,-1.6272436777750652,-2.3899225791295367,-1.0252594103415809,0.9517756148175683,-1.7525835433850685,-1.7302117546399434,-2.4047429164250693,-1.0831071784098942,0.9228628743943155,0.0653105434186807,0.10296807686487819,0.5199111111111111,0.0398222222222222,0.07333333333333333,0.5196,0.0391999999999999,0.515172907423839,0.55,0.7511111111111111,0.7577777777777778
BECN1,additional_six,ipin_optimized,3,150,150,-1.8429505047698815,-1.8694666624069214,-2.4299514691034956,-1.0160734007755914,1.0990188761277542,-1.9031566694213287,-1.8234090209007263,-2.7401304046312966,-1.1856759339571,1.1948499034256481,0.060206164651447125,-0.04605764150619507,0.5198222222222222,0.03964444444444437,0.09333333333333334,0.5177333333333333,0.035466666666666535,0.5177262348417627,0.35,0.7977777777777778,0.7866666666666666
BECN1,additional_six,tuna_retrained,3,150,150,-10.474991615083482,-10.675822416941324,-12.19157099723816,-9.002557635307312,2.177288187103795,-10.060237281587387,-9.748963514963787,-12.265920797983805,-8.074628829956055,2.5195544152140332,-0.41475433349609503,-0.9268589019775373,0.44484444444444443,-0.11031111111111114,0.15333333333333332,0.4330666666666667,-0.13386666666666658,0.4260546583850931,0.4,0.8622222222222222,0.8244444444444444
