target,model,group,n,mean,sd,q25,median,q75,min,max
KRAS,ipin_baseline,low_plausibility,150,-2.737038758132193,0.9365698674295041,-3.3010828097661338,-2.6911574602127075,-2.0362273255983987,-4.9884904225667315,-0.44346343477567035
KRAS,ipin_optimized,P,3,0.41963021622763746,0.30327856790389507,0.2928721408049266,0.502097045381864,0.5876217062274616,0.0836472362279892,0.6731463670730591
KRAS,ipin_optimized,context,150,-0.9708345387627679,1.1789655231289011,-1.7315324743588765,-0.7621100793282192,-0.13550551732381186,-4.942843596140544,1.3622666200002034
KRAS,ipin_optimized,background,150,-1.8088626269665027,1.4407859951433357,-2.7703105211257935,-1.9750803311665854,-0.873460166156292,-6.2849734624226885,1.5654810269673665
KRAS,ipin_optimized,low_plausibility,150,-2.8468799019191,1.1055763343566152,-3.469582279523214,-2.8314265410105386,-2.1348214546839395,-5.865832646687825,0.3581233620643616
KRAS,tuna_retrained,P,3,-5.8436521424187555,0.32285396296739716,-6.016465028127035,-5.895461718241374,-5.696744044621786,-6.137468338012695,-5.498026371002197
KRAS,tuna_retrained,context,150,-7.60472279071808,1.5009149510215058,-8.685417254765829,-7.663127501805624,-6.444937666257223,-11.574159304300943,-4.150462945302327
KRAS,tuna_retrained,background,150,-8.500002296765645,1.9157267202176709,-9.748982826868694,-8.203610181808472,-7.047021110852559,-12.90948454538981,-4.362907250722249
KRAS,tuna_retrained,low_plausibility,150,-9.752667839262221,1.4208409926474417,-10.798677762349447,-9.84628709157308,-8.873642524083456,-12.88557497660319,-5.988582928975423
KRAS,tuna_original,P,3,0.6460686922073364,0.03194109882926279,0.6324129700660706,0.6538791656494141,0.6636296510696411,0.610946774482727,0.6733801364898682
KRAS,tuna_original,context,150,0.40798341264327365,0.13818118329082835,0.32256364077329636,0.40472979843616486,0.5115441530942917,0.09785841405391693,0.6950432062149048
KRAS,tuna_original,background,150,0.43480666001637774,0.16278188635902704,0.3054373115301132,0.4543486386537552,0.5745120048522949,0.08640816807746887,0.7856670618057251
KRAS,tuna_original,low_plausibility,150,0.5197154271602631,0.12660769536746147,0.4180927574634552,0.5415241122245789,0.6235785782337189,0.21304771304130554,0.7273436188697815
CDK2,ipin_baseline,P,3,-1.0165526564750407,0.8973078327928171,-1.5331789453824363,-1.4664467970530193,-0.7248734378566345,-1.599911093711853,0.01669992133975029
CDK2,ipin_baseline,context,150,-1.3865992724403944,0.9008189410965728,-2.0507078866163893,-1.4421288768450418,-0.6891944706439972,-4.353471279144287,0.7399699091911316
CDK2,ipin_baseline,background,150,-1.950387227531109,1.1401216999462565,-2.5992281635602312,-1.8854568799336753,-1.2652275363604228,-5.513124942779541,1.1896222829818726
CDK2,ipin_baseline,low_plausibility,150,-2.386772855640803,0.9378119429753525,-2.9846116304397583,-2.3659541209538775,-1.73714217543602,-4.63147497177124,-0.06542416661977768
CDK2,ipin_optimized,P,3,1.0238760775989957,1.6208280308886125,0.25581724445025134,1.1817440191904705,1.8708688815434775,-0.6701095302899679,2.5599937438964844
CDK2,ipin_optimized,context,150,-0.9246648285786311,1.130963948240526,-1.7086893220742545,-0.8454424639542897,-0.25853578249613446,-4.061487595240275,2.153524160385132
CDK2,ipin_optimized,background,150,-1.7730022296475036,1.6817249087849888,-2.800354480743408,-1.5461891492207847,-0.6232798000176747,-5.927000522613525,2.3894214630126953
CDK2,ipin_optimized,low_plausibility,150,-2.5658339364992244,1.2033886347468172,-3.4781975746154785,-2.5922617514928183,-1.7197837332884471,-5.167914390563965,0.5054874221483866
CDK2,tuna_retrained,P,3,-4.588478883107503,0.6258755083828924,-4.9495753447214765,-4.926161924997966,-4.396223942438762,-4.972988764444987,-3.866285959879557
CDK2,tuna_retrained,context,150,-6.253567877080706,1.2678287178353733,-6.934008081754048,-6.207783381144205,-5.560421864191691,-11.193967501322428,-2.6564807891845703
CDK2,tuna_retrained,background,150,-7.467336543665991,2.09799876025432,-8.698819518089294,-7.35003916422526,-5.971051454544067,-12.772120475769043,-1.7093358039855957
CDK2,tuna_retrained,low_plausibility,150,-7.969967476526896,1.5727172540453367,-9.07175064086914,-8.002901951471966,-6.913184603055319,-11.399898211161295,-3.4855979283650718
