checkpoint,checkpoint_sha256,concordance,epoch,parameters,prediction_sha256,predictions,recipe_id,run_id,seed,stage,swap_max_abs_error,name,family,width,dropout,lr,weight_decay
stage2__esm2_650m__mlp_small__seed20260817/epoch_04.npz,cba14f5ebf88f8fcc1a7e1d817efc9d77b0365c56a4d7f270c0b55150d07e7d0,0.767982335753645,4,253635,7c6a643642edef80bdc9e234603ac020afcb0a8838fdf82323f14d9d02f6c54f,stage2__esm2_650m__mlp_small__seed20260817/epoch_04_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260817,20260817,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage2__esm2_650m__mlp_small__seed20260817/epoch_08.npz,1357c4adda4bd28a97f56965a65880b89d172753a7a479cff97ea11fb3c407d1,0.75825444083139,8,253635,2e58521d0eac1df16b7893d9fea491a6750a6ef49f18a6342f64b2071a0ba8eb,stage2__esm2_650m__mlp_small__seed20260817/epoch_08_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260817,20260817,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage2__esm2_650m__mlp_small__seed20260831/epoch_04.npz,8f4a5f2ed6b621e4d8a3ecad5ea2c4588183d50aac4e0f770bf734d31aedc0bf,0.77396872096315,4,253635,b0a8627960cedeefa8118ed3f21c8c7d03d58c6a62819b4447954a9836cb3c1b,stage2__esm2_650m__mlp_small__seed20260831/epoch_04_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260831,20260831,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage2__esm2_650m__mlp_small__seed20260831/epoch_08.npz,6fe4b43c3272aa8316bcf5a5b4605f10625f74bb773f238630048d637addce45,0.771287482552645,8,253635,c111ded796d5773f2b76629ef7e5f0af14951febdf3b3592583bd15241deac09,stage2__esm2_650m__mlp_small__seed20260831/epoch_08_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260831,20260831,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260803/epoch_04.npz,52d3b4544902efbc93108010ba54fd46c82044b81c6b9a188c6ecf1eedb1bce8,0.780409945687516,4,1922,da48d65501b478df9dea6146560cb26e75b9fc6fcbd2748f562ceaafd9801593,stage2__esm2_150m__linear_base_lr__seed20260803/epoch_04_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260803,20260803,2,0,linear_base_lr,linear,0,0,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260803/epoch_08.npz,88312e8d853459cbacbce5c105a5cbb795487d642bfed54e2ccd1a120b529e9f,0.779570384760395,8,1922,fd2d92be199ea92f0aa62f2811291b01d8077d0db611127ac5a4c8f54ef43e31,stage2__esm2_150m__linear_base_lr__seed20260803/epoch_08_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260803,20260803,2,0,linear_base_lr,linear,0,0,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260817/epoch_04.npz,ea6021426762a38cf6bf4ba0f7ca696add1163a954e440a69e845a68bb83dbf5,0.786537575267581,4,1922,161ec901283ba700243c3f4cf9750125c2e4b73717a47fb3bf0d98506747f722,stage2__esm2_150m__linear_base_lr__seed20260817/epoch_04_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260817,20260817,2,0,linear_base_lr,linear,0,0,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260817/epoch_08.npz,31f9146b771ec1064c276ab99a76d90cfae908d005c136f1b0bca231791e1c79,0.785086610587794,8,1922,d0c4c87a54cf902c72e64d1861527227eac21437dfcd49be0ab9eed2149891f6,stage2__esm2_150m__linear_base_lr__seed20260817/epoch_08_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260817,20260817,2,0,linear_base_lr,linear,0,0,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260831/epoch_04.npz,2ea89fe2863c81a67c4c2bdffaf931d1188abf210480147e87f8c85bd2a9fd4e,0.783117561802098,4,1922,ecf2dce36aacc762877d91e5049871e2f944ddddb077376cbbb75f0b4c003fbc,stage2__esm2_150m__linear_base_lr__seed20260831/epoch_04_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260831,20260831,2,0,linear_base_lr,linear,0,0,0.0003,0.01
stage2__esm2_150m__linear_base_lr__seed20260831/epoch_08.npz,2197b14e53071cf85de96afd9ae32609a81fd1fa8c9d6446879bab5cf54597c3,0.78264627526792,8,1922,ed2b8dc4ca889aabba085bb36bf1df08f694fb72c37f5b86fd093d8a831b9bef,stage2__esm2_150m__linear_base_lr__seed20260831/epoch_08_development.npy,esm2_150m__linear_base_lr,stage2__esm2_150m__linear_base_lr__seed20260831,20260831,2,0,linear_base_lr,linear,0,0,0.0003,0.01
