row_index,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
237,-9.342575073242188,-10.320697784423828,-8.04381275177002,-9.235695203145346
238,-12.395236015319824,-9.219365119934082,-11.875151634216309,-11.163250923156738
239,-14.345499038696289,-8.967472076416016,-10.671211242675781,-11.328060785929361
240,-13.657423973083496,-13.082613945007324,-11.915504455566406,-12.885180791219076
241,-8.708391189575195,-7.094951629638672,-11.036808013916016,-8.946716944376627
242,-6.740264892578125,-8.322669982910156,-12.102608680725098,-9.055181185404459
243,-9.055943489074707,-9.85466194152832,-10.678035736083984,-9.86288038889567
244,-5.365915298461914,-4.004000186920166,-8.774490356445312,-6.048135280609131
245,-7.736071586608887,-8.118698120117188,-9.368144989013672,-8.407638231913248
246,-9.853860855102539,-7.732698917388916,-8.094194412231445,-8.560251394907633
247,-10.06607437133789,-8.707500457763672,-12.445029258728027,-10.406201362609863
248,-7.959909915924072,-9.024664878845215,-8.18922233581543,-8.391265710194906
249,-12.7765474319458,-11.481239318847656,-9.923467636108398,-11.393751462300619
250,-7.510031223297119,-5.243592262268066,-10.545866012573242,-7.766496499379476
251,-8.795886039733887,-10.465194702148438,-11.679035186767578,-10.313371976216635
252,-5.223499298095703,-5.877108097076416,-9.97773265838623,-7.026113351186116
253,-8.77189826965332,-6.9548163414001465,-4.506632328033447,-6.744448979695638
254,-8.357280731201172,-10.815396308898926,-10.389448165893555,-9.854041735331217
255,-11.516231536865234,-8.763012886047363,-11.26511287689209,-10.514785766601562
256,-10.23139762878418,-12.324041366577148,-13.58449649810791,-12.046645164489746
257,-11.727296829223633,-8.785131454467773,-9.967550277709961,-10.159992853800455
258,-8.691625595092773,-10.303434371948242,-9.236394882202148,-9.41048494974772
259,-11.086896896362305,-7.967043876647949,-13.205696105957031,-10.753212292989096
260,-10.063508033752441,-9.758910179138184,-10.46226978302002,-10.094895998636881
261,-10.213912963867188,-13.839005470275879,-14.423050880432129,-12.825323104858398
262,-13.144265174865723,-15.23898983001709,-11.76431941986084,-13.382524808247885
