cohort,model,positive_subset,U_stratum,targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,tuna_retrained,exclude_development_P_and_homomers,all_U,12,35,3700,0.7272222222222222,0.09182516198527078,0.1652594886845705,35.916666666666664,3.0,2.0,0.08333333333333333,0.05000000000000001,5.05,0.07550211962789019,0.16666666666666666,6.0,5.0,0.16666666666666666,0.05000000000000001,5.05,0.11354115157030385,0.4166666666666667,8.0,7.0,0.2222222222222222,0.03333333333333333,3.3666666666666667,0.13165058483871114,0.5833333333333334
all_twelve,ipin_baseline,exclude_development_P_and_homomers,context,12,35,1850,0.612314814814815,0.09697223433294953,0.17378332000180738,32.0,3.0,3.0,0.08333333333333333,0.05000000000000001,2.5500000000000003,0.07821312100379274,0.25,6.0,5.0,0.16666666666666666,0.049999999999999996,2.5500000000000003,0.11432522002878127,0.4166666666666667,10.0,7.0,0.27777777777777773,0.041666666666666664,2.1250000000000004,0.1541850796228146,0.5833333333333334
all_twelve,ipin_optimized,exclude_development_P_and_homomers,context,12,35,1850,0.6677314814814815,0.1668535757588845,0.3106822039748869,31.25,6.0,4.0,0.16666666666666666,0.10000000000000002,5.1000000000000005,0.16441892580362685,0.3333333333333333,11.0,7.0,0.3055555555555555,0.09166666666666666,4.675000000000001,0.22623693257997787,0.5833333333333334,12.0,7.0,0.3333333333333333,0.049999999999999996,2.5500000000000003,0.23680501731601064,0.5833333333333334
all_twelve,tuna_retrained,exclude_development_P_and_homomers,context,12,35,1850,0.6993981481481483,0.14406350345959826,0.26725752305406364,22.416666666666668,7.0,6.0,0.19444444444444442,0.11666666666666665,5.95,0.15899692305182175,0.5,8.0,7.0,0.2222222222222222,0.06666666666666667,3.4000000000000004,0.17076917079014084,0.5833333333333334,13.0,9.0,0.36111111111111116,0.05416666666666667,2.7624999999999997,0.22045342740307708,0.75
all_twelve,ipin_baseline,exclude_development_P_and_homomers,background,12,35,1850,0.6931018518518518,0.09774914230358016,0.15605709917776067,24.333333333333332,3.0,3.0,0.08333333333333333,0.05000000000000001,2.5500000000000003,0.06890026541192572,0.25,7.0,5.0,0.19444444444444442,0.05833333333333333,2.975,0.11894602444995767,0.4166666666666667,10.0,7.0,0.27777777777777773,0.041666666666666664,2.1250000000000004,0.14924240234676733,0.5833333333333334
all_twelve,ipin_optimized,exclude_development_P_and_homomers,background,12,35,1850,0.7238888888888888,0.14622825148876464,0.23228350040225734,27.333333333333332,5.0,5.0,0.13888888888888887,0.08333333333333333,4.250000000000001,0.1204243072493656,0.4166666666666667,11.0,7.0,0.3055555555555555,0.09166666666666666,4.675000000000001,0.1965023711341929,0.5833333333333334,14.0,7.0,0.3888888888888889,0.05833333333333334,2.975,0.2266475350805648,0.5833333333333334
all_twelve,tuna_retrained,exclude_development_P_and_homomers,background,12,35,1850,0.7550462962962962,0.1527075280595597,0.22632575757575757,14.5,5.0,4.0,0.13888888888888887,0.08333333333333333,4.25,0.11972889245932715,0.3333333333333333,9.0,8.0,0.24999999999999997,0.075,3.8250000000000006,0.1729612347445707,0.6666666666666666,19.0,10.0,0.5277777777777777,0.07916666666666668,4.0375,0.2704886746810576,0.8333333333333334
all_twelve,ipin_baseline,exclude_prior_train_development_P,all_U,12,34,3700,0.6301851851851853,0.04330690879142602,0.0732772520831067,59.416666666666664,2.0,2.0,0.05555555555555555,0.03333333333333333,3.3666666666666667,0.036395559125993814,0.16666666666666666,2.0,2.0,0.05555555555555555,0.016666666666666666,1.6833333333333333,0.036395559125993814,0.16666666666666666,6.0,5.0,0.1597222222222222,0.024999999999999998,2.525,0.07309273072506517,0.4166666666666667
all_twelve,ipin_optimized,exclude_prior_train_development_P,all_U,12,34,3700,0.6762499999999999,0.08489370819342155,0.16487120871220212,52.916666666666664,2.0,2.0,0.05555555555555555,0.03333333333333333,3.3666666666666667,0.06378005308238514,0.16666666666666666,4.0,3.0,0.1111111111111111,0.03333333333333333,3.3666666666666667,0.08858782098800301,0.25,10.0,7.0,0.2708333333333333,0.041666666666666664,4.208333333333333,0.14682220629372364,0.5833333333333334
all_twelve,tuna_retrained,exclude_prior_train_development_P,all_U,12,34,3700,0.7111805555555555,0.07117723892336046,0.165083121841537,38.583333333333336,2.0,2.0,0.048611111111111105,0.03333333333333333,3.3666666666666667,0.05208495108362332,0.16666666666666666,5.0,5.0,0.13194444444444445,0.041666666666666664,4.208333333333333,0.09012398302603698,0.4166666666666667,7.0,7.0,0.1875,0.029166666666666664,2.9458333333333333,0.10823341629444429,0.5833333333333334
all_twelve,ipin_baseline,exclude_prior_train_development_P,context,12,34,1850,0.590277777777778,0.08446666469183,0.15231704118258738,33.75,2.0,2.0,0.05555555555555555,0.03333333333333333,1.7000000000000002,0.058659840752844555,0.16666666666666666,5.0,4.0,0.13888888888888887,0.041666666666666664,2.1250000000000004,0.09477193977783309,0.3333333333333333,9.0,7.0,0.24305555555555558,0.0375,1.9125000000000003,0.13226772840936846,0.5833333333333334
all_twelve,ipin_optimized,exclude_prior_train_development_P,context,12,34,1850,0.6491666666666668,0.1316059238383265,0.24153306347743178,28.25,4.0,3.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.11018388259028443,0.25,10.0,7.0,0.2708333333333333,0.08333333333333333,4.25,0.18358990432586678,0.5833333333333334,11.0,7.0,0.2986111111111111,0.04583333333333334,2.3375000000000004,0.19415798906189954,0.5833333333333334
all_twelve,tuna_retrained,exclude_prior_train_development_P,context,12,34,1850,0.689386574074074,0.12351914168313603,0.26752715204457267,21.166666666666668,6.0,6.0,0.1597222222222222,0.09999999999999999,5.1000000000000005,0.13557975450755488,0.5,7.0,7.0,0.1875,0.05833333333333333,2.975,0.14735200224587397,0.5833333333333334,12.0,9.0,0.3263888888888889,0.05000000000000001,2.5500000000000003,0.19703625885881024,0.75
