cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,ipin_baseline,ipin_tuna_31k,0.04861353465672477,0.018767190824475435,0.07649438289036722,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,ipin_optimized,tuna_retrained,0.02840212621253324,0.000975239068161678,0.054786954720494566,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,ipin_optimized,ipin_tuna_31k,-0.023931848197646155,-0.05850454847754081,0.005246156457677266,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,tuna_retrained,ipin_tuna_31k,-0.052333974410179396,-0.08221968360325145,-0.026098631777800276,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,ipin_baseline,ipin_optimized,0.07729189016419874,0.042924668355241224,0.11315539609711384,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,ipin_baseline,tuna_retrained,0.11206282590419447,0.07173960617313013,0.15367333463096194,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,ipin_baseline,ipin_tuna_31k,0.03187654578767174,-0.005731031654202596,0.06980183230541559,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,ipin_optimized,tuna_retrained,0.034770935739995734,-0.0037781778365249858,0.07223277305280353,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,ipin_optimized,ipin_tuna_31k,-0.045415344376527,-0.08359803780867095,-0.007687891677450889,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,reciprocal_rank,tuna_retrained,ipin_tuna_31k,-0.08018628011652273,-0.11604859629079045,-0.04500228902580157,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,ipin_baseline,ipin_optimized,-1.770206022187006,-2.7153172000936796,-0.8761812940813918,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,ipin_baseline,tuna_retrained,-2.44690966719493,-4.131101371951219,-0.718443183372076,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,ipin_baseline,ipin_tuna_31k,-2.66244057052298,-4.062843922994299,-1.0942688159793432,277,631
