cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_20,0.7337559429477021,0.6766690522035478,0.7875211614383532,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_20,0.7527733755942948,0.6792438066554463,0.817908720556672,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_20,0.757527733755943,0.7217385650477752,0.7952478770897915,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_20,0.748840412955122,0.7041031717732608,0.7925041871708118,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_20,0.7619330571259129,0.7165243502038106,0.8060703126649355,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,recall_at_20,0.7985494361264563,0.7554056028298042,0.8401314876116558,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,recall_at_20,0.782277894949918,0.7384373226285429,0.8242851432600286,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,NDCG_at_10,0.26598088884478666,0.23248484370656855,0.3051269720289014,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,NDCG_at_10,0.33970358306224663,0.2952280428184706,0.3882860029351008,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,NDCG_at_10,0.36674183921543774,0.3208163915606993,0.41351383171906825,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,NDCG_at_10,0.3230099951861196,0.2896700444848142,0.3589616046862858,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,NDCG_at_10,0.3088169718714154,0.2737788283036504,0.34479847814046466,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,NDCG_at_10,0.3818487218835799,0.3422512107221109,0.4231115603374167,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,NDCG_at_10,0.41513529108216474,0.3741077992992074,0.45706426910759324,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,NDCG_at_10,0.3421685845904421,0.30271086557044247,0.38142087841665545,277,631,631,38898
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,P_vs_U_concordance,0.7322616479161278,0.7054276836130958,0.7612799568464567,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,P_vs_U_concordance,0.7612582636943965,0.7307161991477438,0.7928125560311953,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,P_vs_U_concordance,0.777396278744899,0.7363955658047884,0.8153432976005426,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,P_vs_U_concordance,0.763978708388187,0.7421052957073995,0.7872258496394755,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,P_vs_U_concordance,0.7554494317045939,0.7268161771001348,0.7826544986515529,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,P_vs_U_concordance,0.7788043244391573,0.7475760729644789,0.8080119484438297,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,P_vs_U_concordance,0.811133960760903,0.7846937196499978,0.8368742118058716,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,P_vs_U_concordance,0.7807371697496065,0.7536229674503938,0.8070480814766503,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,average_precision,0.29758676043036464,0.2617096702655065,0.33864555216429165,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,average_precision,0.3805598307888775,0.3331243601615369,0.4341426085741512,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,average_precision,0.39450635015948726,0.35116336375612234,0.4422567245250153,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,average_precision,0.358259919741826,0.32113763759648845,0.4010730289280305,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,average_precision,0.3386112042447045,0.30102407723175545,0.37758748337676273,246,564,564,17381
