dataset,subgroup,model,K,primary_selected,queries,components,EF,EF_low,EF_high,Hits,Hits_low,Hits_high,Recall,Recall_low,Recall_high,Known_positive_rate,Known_positive_rate_low,Known_positive_rate_high,Any_hit,Any_hit_low,Any_hit_high,total_oriented_query_hits,micro_recall_oriented,median_hits
C2_test,train,combo_55_45,20,False,2745,1732,4.513336192873939,4.364647987350243,4.67589096869701,2.034608378870674,1.8311601259133312,2.312902769305381,0.41424556222362086,0.4009267792638661,0.42931620985138663,0.10173041894353463,0.09155800629566735,0.11564513846527003,0.6823315118397085,0.6656917222087704,0.699752956081081,5585.0,0.4153651643611483,1.0
C2_test,train,combo_55_45,30,False,2745,1732,3.7357810949658004,3.6227560394639786,3.857406549157718,2.5602914389799634,2.298639146462268,2.9337614923869033,0.513698945580788,0.49855798257984224,0.5302826092296358,0.08534304796599755,0.07662130488207496,0.0977920497462293,0.7530054644808744,0.7363324733096085,0.7690079554117869,7028.0,0.5226833258961773,1.0
C2_test,train,historical_ef_selected,10,False,2745,1732,5.337403474777144,5.078694382584986,5.633511930101032,1.141712204007286,1.0337057305613375,1.2778719285479947,0.24487364574287798,0.23303589549977896,0.25893995320219443,0.11417122040072847,0.10337057305613304,0.12778719285479903,0.516575591985428,0.497598727591554,0.5382150345687408,3134.0,0.23308047002826118,1.0
C2_test,train,historical_ef_selected,20,False,2745,1732,3.988177439375234,3.831356221402144,4.153334330429115,1.8076502732240438,1.6083318661971833,2.0802281741654283,0.365997663413864,0.35190434510179425,0.3808244305442911,0.09038251366120306,0.08041659330985937,0.10401140870827191,0.6338797814207651,0.6154567770266937,0.6521217483083632,4962.0,0.36903168228469435,1.0
C2_test,train,historical_ef_selected,30,False,2745,1732,3.3026957979174925,3.19039123742802,3.4292953707770435,2.2841530054644807,2.029320796148965,2.6493696770103825,0.4543459029248084,0.4393392676723986,0.4713875223034263,0.07613843351548169,0.06764402653829815,0.08831232256701213,0.7078324225865209,0.6904281428153328,0.7249014111393449,6270.0,0.46630968317715304,1.0
C2_test,train,query_balanced,10,True,2745,1732,4.638858034233594,4.376514149495415,4.959929402824276,0.9617486338797814,0.8637162595925088,1.0978554742509783,0.2133065703532195,0.20125810967984087,0.22848248141621494,0.09617486338797727,0.08637162595925038,0.10978554742509786,0.4768670309653916,0.4573634573138398,0.500532801813393,2640.0,0.1963409192324855,0.0
C2_test,train,query_balanced,20,True,2745,1732,3.660282032179249,3.500278891799321,3.872597556421037,1.6065573770491803,1.42595485400665,1.88742991161982,0.336709043570243,0.32214521036857885,0.35595151849249823,0.0803278688524597,0.07129774270033275,0.09437149558099192,0.6123861566484518,0.5939541505063933,0.6342089741339447,4410.0,0.3279785809906292,1.0
C2_test,train,query_balanced,30,True,2745,1732,3.111354289456855,3.0012719290790866,3.2540707054428313,2.086703096539162,1.8378063838502432,2.4566716195519986,0.4291183592136958,0.4141321335571084,0.4483922720868141,0.06955676988463774,0.06126021279500762,0.0818890539850658,0.6950819672131148,0.6780785740045813,0.7150998063744102,5728.0,0.42600029748624124,1.0
C2_test,train,shortlist_weighted,10,False,2745,1732,4.638858034233594,4.376514149495415,4.959929402824276,0.9617486338797814,0.8637162595925088,1.0978554742509783,0.2133065703532195,0.20125810967984087,0.22848248141621494,0.09617486338797727,0.08637162595925038,0.10978554742509786,0.4768670309653916,0.4573634573138398,0.500532801813393,2640.0,0.1963409192324855,0.0
C2_test,train,shortlist_weighted,20,False,2745,1732,3.660282032179249,3.500278891799321,3.872597556421037,1.6065573770491803,1.42595485400665,1.88742991161982,0.336709043570243,0.32214521036857885,0.35595151849249823,0.0803278688524597,0.07129774270033275,0.09437149558099192,0.6123861566484518,0.5939541505063933,0.6342089741339447,4410.0,0.3279785809906292,1.0
C2_test,train,shortlist_weighted,30,False,2745,1732,3.111354289456855,3.0012719290790866,3.2540707054428313,2.086703096539162,1.8378063838502432,2.4566716195519986,0.4291183592136958,0.4141321335571084,0.4483922720868141,0.06955676988463774,0.06126021279500762,0.0818890539850658,0.6950819672131148,0.6780785740045813,0.7150998063744102,5728.0,0.42600029748624124,1.0
C2_test,test,ipin_baseline,10,False,1185,704,8.845032519931157,8.104439374804455,9.501480129728499,1.6194092827004218,1.2648797260246947,2.1552776776426237,0.22132688952025156,0.20231887671080798,0.23826392996543458,0.16194092827004147,0.12648797260246922,0.21552776776426188,0.6059071729957806,0.5648590879299774,0.6460679937115643,1919.0,0.14271902424512867,1.0
C2_test,test,ipin_baseline,20,False,1185,704,6.3082703012656145,5.889627210073803,6.681807114096281,2.6261603375527427,2.0051209285982288,3.5918437015477505,0.3149770794761352,0.29440019828842096,0.33356718136876257,0.13130801687763713,0.10025604642991116,0.17959218507738753,0.6835443037974683,0.6477695167286245,0.7175646754737925,3112.0,0.23144429570132383,1.0
C2_test,test,ipin_baseline,30,False,1185,704,5.052517578032196,4.771711540657414,5.310174179693344,3.3831223628691984,2.589085956027038,4.613172022641338,0.3778008995894683,0.35733856160022226,0.39689084808710823,0.11277074542897282,0.08630286520090119,0.1537724007547108,0.7383966244725738,0.7055604932644586,0.768628972040156,4009.0,0.2981555853041797,1.0
C2_test,test,ipin_optimized,10,False,1185,704,12.959840193018804,11.977515871747087,13.861786974164467,2.1890295358649787,1.8237948552163674,2.7107299912049245,0.3247269546882518,0.29967681411789715,0.348508334873546,0.21890295358649678,0.18237948552163624,0.2710729991204926,0.7080168776371308,0.672151035986914,0.7428150114281501,2594.0,0.19291982745798006,1.0
C2_test,test,ipin_optimized,20,False,1185,704,8.593180710191092,8.135107336820809,9.035590786272067,3.416877637130802,2.757824559360199,4.411539352854544,0.42970395383773047,0.4061970199360626,0.4523614740805623,0.1708438818565406,0.13789122796801015,0.22057696764272794,0.7738396624472574,0.7436749101579944,0.8046662151924886,4049.0,0.3011304477167931,2.0
C2_test,test,ipin_optimized,30,False,1185,704,6.704608449798351,6.40600726521531,6.985850534820924,4.293670886075949,3.4482433956460814,5.5643065693430644,0.501998502843694,0.47905102728716453,0.52381041205762,0.1431223628691976,0.11494144652153591,0.1854768856447682,0.8177215189873418,0.7905968468468468,0.8438821826149904,5088.0,0.3784024988844266,2.0
C2_test,test,tuna_retrained,10,False,1185,704,14.52094208543259,13.589462598674592,15.476663201005277,2.3620253164556964,1.9872420884681452,2.8998649628388224,0.36419954501119406,0.34057977122035415,0.38904337421583984,0.23620253164556893,0.1987242088468138,0.2899864962838825,0.7476793248945147,0.7155376798745141,0.7800305347858713,2799.0,0.20816599732262384,1.0
C2_test,test,tuna_retrained,20,False,1185,704,9.930646082722372,9.478672862249068,10.36298441408002,3.792405063291139,3.0995402236075877,4.811927314570948,0.49652311241322195,0.4733335951498781,0.5193355095174111,0.1896202531645576,0.15497701118037963,0.24059636572854803,0.8177215189873418,0.7899606505398679,0.8452921717918391,4494.0,0.33422579205711733,2.0
C2_test,test,tuna_retrained,30,False,1185,704,7.775778310170491,7.484203094090311,8.066043759989153,4.854008438818566,3.9208385659510223,6.238633380858374,0.5821518948910552,0.5599361052990046,0.604916056682533,0.1618002812939511,0.1306946188650339,0.2079544460286118,0.8565400843881856,0.8314263296467883,0.879706206190683,5752.0,0.42778521493380933,2.0
C2_test,test,combo_55_45,10,False,1185,704,14.453938250868863,13.528932048565741,15.366851526766503,2.3797468354430378,2.006529835332462,2.908361344537814,0.3622302218967582,0.3382998825610582,0.3861812496731203,0.23797468354430332,0.20065298353324537,0.29083613445378187,0.740084388185654,0.7075628669755268,0.7734147978616612,2820.0,0.20972780008924588,1.0
C2_test,test,combo_55_45,20,False,1185,704,9.735912454613262,9.29226193631149,10.167494063585155,3.7839662447257383,3.103643862202814,4.788676854339596,0.48690915172017274,0.46373633927124075,0.509160980782069,0.18919831223628755,0.1551821931101407,0.23943384271698065,0.810970464135021,0.7853154384430352,0.8372683076446911,4484.0,0.333482076453964,2.0
C2_test,test,combo_55_45,30,False,1185,704,7.621535296210362,7.337695544777023,7.898533858230924,4.79662447257384,3.8991905304202423,6.132463951489686,0.5709284815597225,0.5483391224451235,0.5929426412843364,0.1598874824191269,0.1299730176806743,0.20441546504965571,0.8531645569620253,0.8306639321244264,0.8770638494572349,5684.0,0.42272794883236653,2.0
