dataset,subgroup,variant,reference,K,primary_selected,queries,EF_delta,EF_delta_low,EF_delta_high,Hits_delta,Hits_delta_low,Hits_delta_high,Recall_delta,Recall_delta_low,Recall_delta_high,Known_positive_rate_delta,Known_positive_rate_delta_low,Known_positive_rate_delta_high,Any_hit_delta,Any_hit_delta_low,Any_hit_delta_high
C2_test,all,historical_ef_selected,tuna_retrained,30,False,3930,-0.45942745964111165,-0.5817332401590192,-0.3542866049151519,-0.3203562340966921,-0.3780191113290371,-0.26861652935621494,-0.04264253877769719,-0.0549917670359678,-0.0319239136110993,-0.010678541136556974,-0.012600637044301193,-0.008953884311874622,-0.02315521628498729,-0.03714664485534676,-0.010808878607622792
C2_test,all,historical_ef_selected,combo_55_45,10,False,3930,-0.8975992794701293,-1.0806894761908026,-0.6988644969194779,-0.14885496183206115,-0.17115360486606687,-0.12512902937003328,-0.03225316433952835,-0.04005804074254423,-0.02370594877630665,-0.014885496183206448,-0.017115360486607136,-0.012512902937003528,-0.037404580152671785,-0.04733617078294117,-0.027151333330365877
C2_test,all,historical_ef_selected,combo_55_45,20,False,3930,-0.7113735103038872,-0.8170523372025255,-0.613397375441929,-0.2692111959287531,-0.2966782505297918,-0.24392599133872883,-0.05094876379732299,-0.05810072756737352,-0.0442048148409791,-0.013460559796438065,-0.01483391252648993,-0.012196299566936667,-0.04503816793893123,-0.055009039506891795,-0.036174738654276915
C2_test,all,historical_ef_selected,combo_55_45,30,False,3930,-0.5789764512457607,-0.6487927807448363,-0.5109125373173744,-0.3445292620865139,-0.3794890714679328,-0.31241693678549637,-0.06224074475042296,-0.06909510206827056,-0.055632910511433556,-0.01148430873621785,-0.01264963571559831,-0.010413897892849935,-0.04223918575063612,-0.0504020542169262,-0.03363116538518235
C2_test,all,query_balanced,ipin_baseline,10,True,3930,0.599775227397255,0.34464659588163216,0.8891322743378132,0.010687022900763399,-0.021509888828312174,0.04570746853918049,0.017110409861180093,0.008000847842497332,0.027057248509712126,0.0010687022900761761,-0.0021509888828312737,0.004570746853917783,0.018829516539440205,0.005409887956999005,0.03362440019657533
C2_test,all,query_balanced,ipin_baseline,20,True,3930,0.2860841356861741,0.15470267930678278,0.4280206205663611,0.0025445292620864812,-0.03847205545093567,0.04752888644748427,0.015874161402058162,0.00668414294565949,0.025657386786107333,0.00012722646310438235,-0.0019236027725465954,0.0023764443223742225,0.014758269720101747,0.0026267826821115142,0.027583947212404435
C2_test,all,query_balanced,ipin_baseline,30,True,3930,0.25016856438127943,0.1696356121194469,0.34816554661423105,0.012977099236641365,-0.024506202658988886,0.05338824186013734,0.024694934544889524,0.016131327599647066,0.034806196492414725,0.0004325699745546946,-0.0008168734219661574,0.0017796080620045148,0.02188295165394394,0.011498757137286115,0.03326947138051724
C2_test,all,query_balanced,ipin_optimized,10,True,3930,-1.2179408320052252,-1.4685454892662948,-0.9708651324548448,-0.27175572519083957,-0.302473984433223,-0.2418889879094851,-0.04034269544764463,-0.04835919111760702,-0.031839708562091625,-0.027175572519084992,-0.03024739844332271,-0.024188898790949084,-0.04707379134860046,-0.0585615209661402,-0.03526348727100511
C2_test,all,query_balanced,ipin_optimized,20,True,3930,-0.6504337041230386,-0.7761733742999275,-0.5280148568049481,-0.3488549618320611,-0.3922028831736513,-0.3076711509503266,-0.04142683055279123,-0.05072875791173546,-0.03116682572778616,-0.017442748091603094,-0.01961014415868273,-0.015383557547516549,-0.02849872773536899,-0.03949087561341326,-0.01704563849881819
C2_test,all,query_balanced,ipin_optimized,30,True,3930,-0.45787624981521,-0.5526898713448878,-0.37140670491953487,-0.39618320610686997,-0.4568383581026651,-0.3402928762475295,-0.0417192192571163,-0.05088025508257641,-0.03222298838117057,-0.013206106870230064,-0.01522794527008891,-0.011343095874917787,-0.02111959287531806,-0.03156012855520893,-0.009686082937673108
C2_test,all,query_balanced,tuna_retrained,10,True,3930,-1.7472000083454589,-2.069985522939676,-1.4693418178727122,-0.37531806615776087,-0.41767948551278095,-0.33186196415470093,-0.054909375359881274,-0.06552271029910128,-0.044203485923023256,-0.037531806615777416,-0.04176794855127866,-0.03318619641547094,-0.06590330788804066,-0.0802649292251742,-0.05020916452202962
C2_test,all,query_balanced,tuna_retrained,20,True,3930,-1.2089820231579447,-1.398733714965283,-1.0356869168945422,-0.585241730279898,-0.6505007447492551,-0.5230645604447487,-0.07567898816613683,-0.08744639358516103,-0.06351332031125172,-0.02926208651399531,-0.03252503723746321,-0.026153228022237553,-0.05292620865139952,-0.06712334661542452,-0.03898814364820614
C2_test,all,query_balanced,tuna_retrained,30,True,3930,-0.9173037094563217,-1.0694273040071642,-0.7812969127485425,-0.7165394402035621,-0.8160830588711827,-0.6313111289920904,-0.0843617580348135,-0.09833633168526672,-0.07215547588638051,-0.023884648006787038,-0.027202768629040242,-0.021043704299737908,-0.04427480916030535,-0.05899346529153755,-0.03103856286971936
C2_test,all,query_balanced,combo_55_45,10,True,3930,-2.1155401114753545,-2.365935718569633,-1.8569669278440055,-0.4206106870229007,-0.4568730517149886,-0.3835025692113496,-0.07259585978717298,-0.0822394172447518,-0.062193141785342146,-0.04206106870229144,-0.04568730517149973,-0.03835025692113584,-0.08447837150127224,-0.0980678956572198,-0.0699758569418422
C2_test,all,query_balanced,combo_55_45,20,True,3930,-1.3618072144269258,-1.511202730662453,-1.2257753625270082,-0.6180661577608142,-0.6762505419974667,-0.567149180607673,-0.09237559435011422,-0.10207683122389724,-0.08228350822443044,-0.03090330788804116,-0.033812527099873674,-0.02835745903038325,-0.07353689567430022,-0.08538509607219819,-0.061243777174352344
C2_test,all,query_balanced,combo_55_45,30,True,3930,-1.0368527010609707,-1.1451967851594278,-0.935936918147131,-0.7407124681933839,-0.8224646010508828,-0.6678980889371319,-0.10395996400753926,-0.11310327863749825,-0.09472982994663712,-0.024690415606447913,-0.02741548670169702,-0.022263269631239032,-0.06335877862595418,-0.07433316952234574,-0.05180019187863902
