species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,14,33,3
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,1,23
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,30,8
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,31,7
ecoli,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
ecoli,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,29,0,21
ecoli,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,16,27,7
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,22,1,27
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,29,9
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,19,0,31
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,11,28,11
ecoli,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,25,1,24
ecoli,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,15,28,7
