target,positive_subset,candidate_set,P,U,evaluated
KEAP1,exclude_all_five_prior_pairs_and_homomers,context,2,148,True
KEAP1,exclude_all_five_prior_pairs_and_homomers,background,2,150,True
KEAP1,exclude_all_five_prior_pairs_and_homomers,low_plausibility,2,150,True
KEAP1,exclude_all_five_prior_pairs_and_homomers,context_background,2,298,True
KEAP1,exclude_all_five_prior_pairs_and_homomers,all_U,2,448,True
BRCA1,all_P,context,3,150,True
BRCA1,all_P,background,3,150,True
BRCA1,all_P,low_plausibility,3,150,True
BRCA1,all_P,context_background,3,300,True
BRCA1,all_P,all_U,3,450,True
BRCA1,exclude_development_P,context,3,150,True
BRCA1,exclude_development_P,background,3,150,True
BRCA1,exclude_development_P,low_plausibility,3,150,True
BRCA1,exclude_development_P,context_background,3,300,True
BRCA1,exclude_development_P,all_U,3,450,True
BRCA1,exclude_development_P_and_homomers,context,3,150,True
BRCA1,exclude_development_P_and_homomers,background,3,150,True
BRCA1,exclude_development_P_and_homomers,low_plausibility,3,150,True
BRCA1,exclude_development_P_and_homomers,context_background,3,300,True
BRCA1,exclude_development_P_and_homomers,all_U,3,450,True
BRCA1,exclude_prior_train_development_P,context,3,150,True
BRCA1,exclude_prior_train_development_P,background,3,150,True
BRCA1,exclude_prior_train_development_P,low_plausibility,3,150,True
BRCA1,exclude_prior_train_development_P,context_background,3,300,True
BRCA1,exclude_prior_train_development_P,all_U,3,450,True
BRCA1,exclude_prior_train_development_P_and_homomers,context,3,150,True
BRCA1,exclude_prior_train_development_P_and_homomers,background,3,150,True
BRCA1,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
BRCA1,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
BRCA1,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
BRCA1,exclude_any_model_prior_pairs,context,3,150,True
BRCA1,exclude_any_model_prior_pairs,background,3,150,True
BRCA1,exclude_any_model_prior_pairs,low_plausibility,3,150,True
BRCA1,exclude_any_model_prior_pairs,context_background,3,300,True
BRCA1,exclude_any_model_prior_pairs,all_U,3,450,True
BRCA1,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
BRCA1,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
BRCA1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
BRCA1,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
BRCA1,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
BRCA1,exclude_all_five_prior_pairs,context,1,148,True
BRCA1,exclude_all_five_prior_pairs,background,1,147,True
BRCA1,exclude_all_five_prior_pairs,low_plausibility,1,149,True
BRCA1,exclude_all_five_prior_pairs,context_background,1,295,True
BRCA1,exclude_all_five_prior_pairs,all_U,1,444,True
BRCA1,exclude_all_five_prior_pairs_and_homomers,context,1,148,True
BRCA1,exclude_all_five_prior_pairs_and_homomers,background,1,147,True
BRCA1,exclude_all_five_prior_pairs_and_homomers,low_plausibility,1,149,True
BRCA1,exclude_all_five_prior_pairs_and_homomers,context_background,1,295,True
BRCA1,exclude_all_five_prior_pairs_and_homomers,all_U,1,444,True
KRAS,all_P,context,3,150,True
KRAS,all_P,background,3,150,True
KRAS,all_P,low_plausibility,3,150,True
KRAS,all_P,context_background,3,300,True
KRAS,all_P,all_U,3,450,True
KRAS,exclude_development_P,context,3,150,True
KRAS,exclude_development_P,background,3,150,True
KRAS,exclude_development_P,low_plausibility,3,150,True
KRAS,exclude_development_P,context_background,3,300,True
KRAS,exclude_development_P,all_U,3,450,True
KRAS,exclude_development_P_and_homomers,context,3,150,True
KRAS,exclude_development_P_and_homomers,background,3,150,True
KRAS,exclude_development_P_and_homomers,low_plausibility,3,150,True
KRAS,exclude_development_P_and_homomers,context_background,3,300,True
KRAS,exclude_development_P_and_homomers,all_U,3,450,True
KRAS,exclude_prior_train_development_P,context,3,150,True
KRAS,exclude_prior_train_development_P,background,3,150,True
KRAS,exclude_prior_train_development_P,low_plausibility,3,150,True
KRAS,exclude_prior_train_development_P,context_background,3,300,True
KRAS,exclude_prior_train_development_P,all_U,3,450,True
KRAS,exclude_prior_train_development_P_and_homomers,context,3,150,True
KRAS,exclude_prior_train_development_P_and_homomers,background,3,150,True
KRAS,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
KRAS,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
KRAS,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
KRAS,exclude_any_model_prior_pairs,context,3,150,True
KRAS,exclude_any_model_prior_pairs,background,3,150,True
KRAS,exclude_any_model_prior_pairs,low_plausibility,3,150,True
KRAS,exclude_any_model_prior_pairs,context_background,3,300,True
KRAS,exclude_any_model_prior_pairs,all_U,3,450,True
KRAS,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
KRAS,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
KRAS,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
KRAS,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
KRAS,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
KRAS,exclude_all_five_prior_pairs,context,2,146,True
KRAS,exclude_all_five_prior_pairs,background,2,149,True
KRAS,exclude_all_five_prior_pairs,low_plausibility,2,147,True
KRAS,exclude_all_five_prior_pairs,context_background,2,295,True
KRAS,exclude_all_five_prior_pairs,all_U,2,442,True
KRAS,exclude_all_five_prior_pairs_and_homomers,context,2,146,True
KRAS,exclude_all_five_prior_pairs_and_homomers,background,2,149,True
KRAS,exclude_all_five_prior_pairs_and_homomers,low_plausibility,2,147,True
KRAS,exclude_all_five_prior_pairs_and_homomers,context_background,2,295,True
KRAS,exclude_all_five_prior_pairs_and_homomers,all_U,2,442,True
CDK2,all_P,context,3,150,True
CDK2,all_P,background,3,150,True
CDK2,all_P,low_plausibility,3,150,True
CDK2,all_P,context_background,3,300,True
CDK2,all_P,all_U,3,450,True
CDK2,exclude_development_P,context,3,150,True
CDK2,exclude_development_P,background,3,150,True
CDK2,exclude_development_P,low_plausibility,3,150,True
CDK2,exclude_development_P,context_background,3,300,True
CDK2,exclude_development_P,all_U,3,450,True
CDK2,exclude_development_P_and_homomers,context,3,150,True
CDK2,exclude_development_P_and_homomers,background,3,150,True
CDK2,exclude_development_P_and_homomers,low_plausibility,3,150,True
CDK2,exclude_development_P_and_homomers,context_background,3,300,True
CDK2,exclude_development_P_and_homomers,all_U,3,450,True
CDK2,exclude_prior_train_development_P,context,3,150,True
CDK2,exclude_prior_train_development_P,background,3,150,True
CDK2,exclude_prior_train_development_P,low_plausibility,3,150,True
CDK2,exclude_prior_train_development_P,context_background,3,300,True
CDK2,exclude_prior_train_development_P,all_U,3,450,True
CDK2,exclude_prior_train_development_P_and_homomers,context,3,150,True
CDK2,exclude_prior_train_development_P_and_homomers,background,3,150,True
CDK2,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
CDK2,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
CDK2,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
CDK2,exclude_any_model_prior_pairs,context,3,150,True
CDK2,exclude_any_model_prior_pairs,background,3,150,True
CDK2,exclude_any_model_prior_pairs,low_plausibility,3,150,True
CDK2,exclude_any_model_prior_pairs,context_background,3,300,True
CDK2,exclude_any_model_prior_pairs,all_U,3,450,True
CDK2,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
CDK2,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
CDK2,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
CDK2,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
CDK2,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
CDK2,exclude_all_five_prior_pairs,context,1,150,True
CDK2,exclude_all_five_prior_pairs,background,1,148,True
CDK2,exclude_all_five_prior_pairs,low_plausibility,1,149,True
CDK2,exclude_all_five_prior_pairs,context_background,1,298,True
CDK2,exclude_all_five_prior_pairs,all_U,1,447,True
CDK2,exclude_all_five_prior_pairs_and_homomers,context,1,150,True
CDK2,exclude_all_five_prior_pairs_and_homomers,background,1,148,True
CDK2,exclude_all_five_prior_pairs_and_homomers,low_plausibility,1,149,True
CDK2,exclude_all_five_prior_pairs_and_homomers,context_background,1,298,True
CDK2,exclude_all_five_prior_pairs_and_homomers,all_U,1,447,True
HIF1A,all_P,context,3,150,True
HIF1A,all_P,background,3,150,True
HIF1A,all_P,low_plausibility,3,150,True
HIF1A,all_P,context_background,3,300,True
HIF1A,all_P,all_U,3,450,True
HIF1A,exclude_development_P,context,3,150,True
HIF1A,exclude_development_P,background,3,150,True
HIF1A,exclude_development_P,low_plausibility,3,150,True
HIF1A,exclude_development_P,context_background,3,300,True
HIF1A,exclude_development_P,all_U,3,450,True
HIF1A,exclude_development_P_and_homomers,context,3,150,True
HIF1A,exclude_development_P_and_homomers,background,3,150,True
HIF1A,exclude_development_P_and_homomers,low_plausibility,3,150,True
HIF1A,exclude_development_P_and_homomers,context_background,3,300,True
HIF1A,exclude_development_P_and_homomers,all_U,3,450,True
HIF1A,exclude_prior_train_development_P,context,3,150,True
HIF1A,exclude_prior_train_development_P,background,3,150,True
HIF1A,exclude_prior_train_development_P,low_plausibility,3,150,True
HIF1A,exclude_prior_train_development_P,context_background,3,300,True
HIF1A,exclude_prior_train_development_P,all_U,3,450,True
HIF1A,exclude_prior_train_development_P_and_homomers,context,3,150,True
HIF1A,exclude_prior_train_development_P_and_homomers,background,3,150,True
HIF1A,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
HIF1A,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
HIF1A,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
HIF1A,exclude_any_model_prior_pairs,context,3,150,True
HIF1A,exclude_any_model_prior_pairs,background,3,150,True
HIF1A,exclude_any_model_prior_pairs,low_plausibility,3,150,True
HIF1A,exclude_any_model_prior_pairs,context_background,3,300,True
HIF1A,exclude_any_model_prior_pairs,all_U,3,450,True
HIF1A,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
HIF1A,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
HIF1A,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
HIF1A,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
HIF1A,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
HIF1A,exclude_all_five_prior_pairs,context,1,149,True
HIF1A,exclude_all_five_prior_pairs,background,1,148,True
HIF1A,exclude_all_five_prior_pairs,low_plausibility,1,147,True
HIF1A,exclude_all_five_prior_pairs,context_background,1,297,True
HIF1A,exclude_all_five_prior_pairs,all_U,1,444,True
HIF1A,exclude_all_five_prior_pairs_and_homomers,context,1,149,True
HIF1A,exclude_all_five_prior_pairs_and_homomers,background,1,148,True
HIF1A,exclude_all_five_prior_pairs_and_homomers,low_plausibility,1,147,True
HIF1A,exclude_all_five_prior_pairs_and_homomers,context_background,1,297,True
HIF1A,exclude_all_five_prior_pairs_and_homomers,all_U,1,444,True
CTNNB1,all_P,context,3,150,True
CTNNB1,all_P,background,3,150,True
CTNNB1,all_P,low_plausibility,3,150,True
CTNNB1,all_P,context_background,3,300,True
CTNNB1,all_P,all_U,3,450,True
CTNNB1,exclude_development_P,context,3,150,True
CTNNB1,exclude_development_P,background,3,150,True
CTNNB1,exclude_development_P,low_plausibility,3,150,True
CTNNB1,exclude_development_P,context_background,3,300,True
CTNNB1,exclude_development_P,all_U,3,450,True
CTNNB1,exclude_development_P_and_homomers,context,3,150,True
CTNNB1,exclude_development_P_and_homomers,background,3,150,True
CTNNB1,exclude_development_P_and_homomers,low_plausibility,3,150,True
CTNNB1,exclude_development_P_and_homomers,context_background,3,300,True
CTNNB1,exclude_development_P_and_homomers,all_U,3,450,True
CTNNB1,exclude_prior_train_development_P,context,3,150,True
CTNNB1,exclude_prior_train_development_P,background,3,150,True
CTNNB1,exclude_prior_train_development_P,low_plausibility,3,150,True
CTNNB1,exclude_prior_train_development_P,context_background,3,300,True
CTNNB1,exclude_prior_train_development_P,all_U,3,450,True
CTNNB1,exclude_prior_train_development_P_and_homomers,context,3,150,True
CTNNB1,exclude_prior_train_development_P_and_homomers,background,3,150,True
CTNNB1,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
CTNNB1,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
CTNNB1,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
CTNNB1,exclude_any_model_prior_pairs,context,2,144,True
