target,model,positive_subset,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,tuna_original,exclude_development_P_and_homomers,background,3,200,203,0.7933333333333333,0.044251066290753996,29,29,29.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_selected_31k,exclude_development_P_and_homomers,background,3,200,203,0.6516666666666666,0.12717652717652717,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,13.533333333333335,0.23463936301137822,1.0,1.0,0.3333333333333333,0.1,6.7666666666666675,0.23463936301137822,1.0,1.0,0.3333333333333333,0.05,3.3833333333333337,0.23463936301137822,1.0
ERN1,ipin_baseline,exclude_development_P_and_homomers,low_plausibility,3,200,203,0.30833333333333335,0.013925137102681727,78,78,78.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,low_plausibility,3,200,203,0.325,0.014235294117647058,125,125,125.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,low_plausibility,3,200,203,0.805,0.08530927835051547,10,10,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,6.7666666666666675,0.13565197343244778,1.0,2.0,0.6666666666666666,0.1,6.7666666666666675,0.2504612681584656,1.0
ERN1,tuna_original,exclude_development_P_and_homomers,low_plausibility,3,200,203,0.98,0.33134920634920634,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,13.533333333333335,0.23463936301137822,1.0,3.0,1.0,0.3,20.3,0.5391065605018962,1.0,3.0,1.0,0.15,10.15,0.5391065605018962,1.0
ERN1,tuna_selected_31k,exclude_development_P_and_homomers,low_plausibility,3,200,203,0.6266666666666667,0.3489620193441849,1,1,1.0,1.0,1.0,0.3333333333333333,0.2,13.533333333333335,0.46927872602275644,1.0,1.0,0.3333333333333333,0.1,6.7666666666666675,0.46927872602275644,1.0,1.0,0.3333333333333333,0.05,3.3833333333333337,0.46927872602275644,1.0
ERN1,ipin_baseline,exclude_development_P_and_homomers,context_background,3,400,403,0.31416666666666665,0.006984156420783819,169,169,169.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,context_background,3,400,403,0.35083333333333333,0.007512294740351754,248,248,248.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,context_background,3,400,403,0.5433333333333333,0.011637320380489778,108,108,108.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_original,exclude_development_P_and_homomers,context_background,3,400,403,0.6283333333333333,0.012753201512562946,102,102,102.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_selected_31k,exclude_development_P_and_homomers,context_background,3,400,403,0.6883333333333334,0.05695863590600432,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,13.433333333333334,0.15642624200758548,1.0,1.0,0.3333333333333333,0.05,6.716666666666667,0.15642624200758548,1.0
ERN1,ipin_baseline,exclude_development_P_and_homomers,all_U,3,600,603,0.31222222222222223,0.004670568211166664,246,246,246.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,all_U,3,600,603,0.3422222222222222,0.004944155460154681,372,372,372.0,0.002688172043010753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,all_U,3,600,603,0.6305555555555555,0.01014330813092423,117,117,117.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_original,exclude_development_P_and_homomers,all_U,3,600,603,0.7455555555555555,0.012427789601702644,104,104,104.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_selected_31k,exclude_development_P_and_homomers,all_U,3,600,603,0.6677777777777778,0.05351417374930021,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,20.1,0.15642624200758548,1.0,1.0,0.3333333333333333,0.05,10.05,0.15642624200758548,1.0
ERN1,ipin_baseline,exclude_prior_train_development_P,context,4,200,204,0.46,0.03500575511445077,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,2.5500000000000003,0.10253313861822189,1.0
ERN1,ipin_optimized,exclude_prior_train_development_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,tuna_retrained,exclude_prior_train_development_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_original,exclude_prior_train_development_P,context,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_prior_train_development_P,context,4,200,204,0.78625,0.13554376657824932,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,2.0,0.5,0.2,10.200000000000001,0.2741708125981702,1.0,2.0,0.5,0.1,5.1000000000000005,0.2741708125981702,1.0
ERN1,ipin_baseline,exclude_prior_train_development_P,background,4,200,204,0.49,0.05840617715617715,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,exclude_prior_train_development_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,tuna_retrained,exclude_prior_train_development_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_original,exclude_prior_train_development_P,background,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_prior_train_development_P,background,4,200,204,0.72875,0.15030165912518853,3,3,3.0,0.3333333333333333,1.0,0.25,0.2,10.200000000000001,0.19519002499605084,1.0,2.0,0.5,0.2,10.200000000000001,0.3080351663449861,1.0,2.0,0.5,0.1,5.1000000000000005,0.3080351663449861,1.0
ERN1,ipin_baseline,exclude_prior_train_development_P,low_plausibility,4,200,204,0.47625,0.06643012402506074,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,1.0,0.25,0.1,5.1000000000000005,0.15101961822780524,1.0,1.0,0.25,0.05,2.5500000000000003,0.15101961822780524,1.0
