row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
171,-4.093283176422119,-4.8452229499816895,-3.134300470352173,-4.024268865585327
172,-4.778794288635254,-5.496535301208496,-5.450103759765625,-5.241811116536458
173,-6.823657512664795,-7.064138889312744,-5.986912727355957,-6.624903043111165
174,-6.754769325256348,-6.375375270843506,-6.4077277183532715,-6.512624104817708
175,-5.367239475250244,-4.615426063537598,-5.01975154876709,-5.000805695851644
176,-7.779591083526611,-8.62109088897705,-7.2353010177612305,-7.878660996754964
177,-5.960689544677734,-5.893916606903076,-3.5867979526519775,-5.14713470141093
178,-3.291489601135254,-4.614798069000244,-3.6581923961639404,-3.8548266887664795
179,-5.115887641906738,-6.411138534545898,-6.787380695343018,-6.104802290598552
180,-6.7526469230651855,-7.424689292907715,-6.545746326446533,-6.907694180806478
181,-5.293607234954834,-5.921666145324707,-6.711610794067383,-5.975628058115642
182,-4.652261734008789,-6.528345584869385,-5.427626609802246,-5.536077976226807
183,-5.526298522949219,-6.870650291442871,-6.303462505340576,-6.233470439910889
184,-3.6089000701904297,-5.548813343048096,-3.788620710372925,-4.315444707870483
185,-5.645325660705566,-4.861720561981201,-6.389629364013672,-5.6322251955668134
186,-6.013360977172852,-7.140160083770752,-7.27336311340332,-6.808961391448975
187,-3.7132933139801025,-6.536686897277832,-8.067020416259766,-6.105666875839233
188,-5.94883394241333,-6.471738338470459,-3.9466352462768555,-5.455735842386882
189,-3.0231237411499023,-3.319028854370117,-2.776669502258301,-3.039607365926107
190,-5.073225021362305,-6.536175727844238,-7.5858330726623535,-6.398411273956299
191,-1.6226301193237305,-1.8324373960494995,-0.6757614016532898,-1.3769429723421733
192,-5.111722469329834,-6.319782257080078,-4.875209331512451,-5.435571352640788
193,-4.3088459968566895,-4.956454277038574,-6.126903057098389,-5.130734443664551
194,-5.258081912994385,-4.7348246574401855,-6.603763103485107,-5.532223224639893
195,-1.7180278301239014,-2.970802068710327,-2.9873030185699463,-2.558710972468058
196,-6.238560676574707,-6.167616844177246,-5.845533847808838,-6.083903789520264
197,-3.759323835372925,-3.664273500442505,-3.2565343379974365,-3.5600438912709556
198,-7.211977481842041,-6.52946138381958,-6.167179584503174,-6.636206150054932
199,-4.556133270263672,-3.2299365997314453,-4.489331245422363,-4.091800371805827
200,-4.262779712677002,-3.3167991638183594,-3.6533610820770264,-3.7443133195241294
201,-6.200401306152344,-6.298321723937988,-6.726762771606445,-6.408495267232259
202,-5.156552791595459,-6.945798873901367,-5.956935882568359,-6.0197625160217285
203,-4.525767803192139,-3.973769187927246,-3.5682361125946045,-4.02259103457133
204,-5.279829502105713,-6.092218399047852,-5.778963565826416,-5.71700382232666
205,-5.337349891662598,-5.476821422576904,-4.308747291564941,-5.040972868601481
206,-4.876824855804443,-5.451288223266602,-6.032799243927002,-5.453637440999349
207,-4.158723831176758,-5.432948112487793,-5.13332986831665,-4.908333937327067
208,-5.5743088722229,-5.137328624725342,-4.048612117767334,-4.920083204905192
209,-7.0619425773620605,-5.490675926208496,-4.929437637329102,-5.827352046966553
210,-6.329872131347656,-5.460429668426514,-6.07637882232666,-5.955560207366943
211,-4.397384166717529,-6.093661785125732,-4.8958821296691895,-5.128976027170817
212,-7.631862640380859,-8.182411193847656,-8.008410453796387,-7.940894762674968
